# EHR Phase 3 ambipolar study  2026-07-19T09:34:55.232Z
# feedback=true ions=mobile mion_amu=1 Hi=1.1893679642241943 n0_m3=300000000000 model=screw nexp=1 n=1000 Bwall_T=0.01 p_mTorr=10
# Tseed_eV=3 R_m=0.1 L_m=0.4 Tmax_s=0.000025 dt_s=1.1371260207131446e-10 grid=48x96 fieldevery=5 seed=1
ratio,surviveFrac,tauMean_s,tauLeak_s,phiMax_V,fracRadialLoss,fracEndLoss,surviveFracIon,GiOverGe,Hi
0,0.015,0.000004291185259329671,Infinity,6.220309248080197,0.0020304568527918783,0.9979695431472081,0.25,2.879120879120879,1.1893679642241943
3,0.019,0.0000056464080714869914,Infinity,5.493387670418036,0.04383282364933741,0.9561671763506626,0.261,2.6728971962616823,1.1893679642241943
