# EHR Phase 3C sustained discharge  2026-07-19T10:56:25.353Z
# model=screw nexp=1 mion_amu=1 HiStar=2.3491539278632536 Bwall_T=0.04 p_mTorr=3
# rate_per_us=200 Ttotal_s=0.00004 Tseed_eV=3 R_m=0.1 L_m=0.4 dt_s=2.8428150517828616e-11 grid=48x96 seed=1
ratio,NeSS,NiSS,tauEff_s,phiMax_V,GiOverGe,fracEndE,fracRadialE,capHits
0,3098.027731621582,5359.63371659164,0.00001549013865810791,8.334058122947882,0.9254153411099328,1,0,0
3,3150.917790169275,5649.939664178733,0.000015754588950846376,7.959432582042873,0.8939646548849617,1,0,0
