# EHR Phase 3 ambipolar study  2026-07-19T09:30:12.932Z
# feedback=true ions=mobile mion_amu=1 Hi=0.5946839821120972 n0_m3=300000000000 model=screw nexp=1 n=1000 Bwall_T=0.005 p_mTorr=10
# Tseed_eV=3 R_m=0.1 L_m=0.4 Tmax_s=0.000025 dt_s=2.2742520414262892e-10 grid=48x96 fieldevery=3 seed=1
ratio,surviveFrac,tauMean_s,tauLeak_s,phiMax_V,fracRadialLoss,fracEndLoss,surviveFracIon,GiOverGe,Hi
0,0.015,0.000004173955867614098,Infinity,6.420138944863207,0.014213197969543147,0.9857868020304569,0.222,3.3506493506493507,0.5946839821120972
3,0.007,0.000005193398440966672,Infinity,5.699104088136237,0.0866062437059416,0.9133937562940584,0.218,2.6448598130841123,0.5946839821120972
