# EHR Phase 1 pitch scan  2026-07-19T05:33:00.248Z
# species=electron model=screw n=4000 Bwall_T=0.01 p_mTorr=10
# Tseed_eV=10 Tgas_K=300 R_m=0.1 L_m=0.4 Tmax_s=0.00005 dt_s=1.1371260207131446e-10 seed=1 nocoll=false dtscale=1
ratio,Bz_T,BthWall_T,pitch_halfR_m,nTotal,nLost,surviveFrac,tauMean_s,tauSE_s,tauMedian_s,fracRadialLoss,fracEndLoss,fracEndLow,fracEndHigh,ionEventsPerParticle
0,0.01,0,Infinity,4000,4000,0,9.324429674187278e-7,1.4702567952291937e-8,6.474795561940987e-7,0.0165,0.9835,0.5,0.4835,0.2985
0.5,0.008944271909999158,0.004472135954999579,1.2566370614359172,4000,4000,0,0.0000010202340995722789,1.666960081380294e-8,6.897806441646301e-7,0.02375,0.97625,0.4945,0.48175,0.3085
1,0.0070710678118654745,0.0070710678118654745,0.6283185307179586,4000,4000,0,0.0000012160064627993073,1.9388363252722508e-8,8.443160703795554e-7,0.032,0.968,0.5155,0.4525,0.2975
2,0.004472135954999579,0.008944271909999158,0.3141592653589793,4000,4000,0,0.000001925770248947975,3.136752967552726e-8,0.0000012844975529973313,0.06325,0.93675,0.5245,0.41225,0.3395
3,0.0031622776601683794,0.009486832980505138,0.20943951023931956,4000,4000,0,0.0000029109281328636817,5.113147243903252e-8,0.0000018787596114215018,0.09375,0.90625,0.51825,0.388,0.36625
