r_m,z_m,phi_V,ne_m3,ni_m3
0.00104,0.00208,1.8651e-1,1.6002e+9,0.0000e+0
0.00313,0.00208,1.8848e-1,8.4912e+9,9.0130e+10
0.00521,0.00208,1.8791e-1,1.0220e+10,1.3264e+11
0.00729,0.00208,1.8356e-1,8.9980e+9,4.9938e+9
0.00937,0.00208,1.8334e-1,7.8855e+9,3.6378e+7
0.01146,0.00208,1.8631e-1,1.7342e+10,7.8032e+10
0.01354,0.00208,1.8825e-1,9.6341e+9,1.1154e+11
0.01563,0.00208,1.8725e-1,1.4720e+10,6.8778e+10
0.01771,0.00208,1.8713e-1,1.6737e+10,7.5468e+10
0.01979,0.00208,1.8773e-1,1.8559e+10,1.2390e+11
0.02187,0.00208,1.8618e-1,2.3168e+10,7.3088e+10
0.02396,0.00208,1.8633e-1,1.9719e+10,1.1071e+11
0.02604,0.00208,1.8563e-1,1.5291e+10,6.1887e+10
0.02813,0.00208,1.8699e-1,2.1272e+10,9.8218e+10
0.03021,0.00208,1.8825e-1,2.1824e+10,1.5164e+11
0.03229,0.00208,1.8630e-1,2.3585e+10,1.3898e+11
0.03438,0.00208,1.8260e-1,2.2889e+10,7.2421e+10
0.03646,0.00208,1.8137e-1,2.1996e+10,9.8041e+10
0.03854,0.00208,1.8090e-1,1.8149e+10,1.8371e+11
0.04063,0.00208,1.7561e-1,2.1929e+10,7.3906e+10
0.04271,0.00208,1.7282e-1,1.6139e+10,7.9210e+10
0.04479,0.00208,1.7127e-1,2.1117e+10,1.1703e+11
0.04688,0.00208,1.6925e-1,2.3194e+10,1.5840e+11
0.04896,0.00208,1.6496e-1,2.5204e+10,1.2341e+11
0.05104,0.00208,1.6053e-1,1.8394e+10,1.2201e+11
0.05312,0.00208,1.5534e-1,1.9594e+10,9.2709e+10
0.05521,0.00208,1.5115e-1,2.3282e+10,1.0503e+11
0.05729,0.00208,1.4695e-1,1.7709e+10,1.0938e+11
0.05937,0.00208,1.4220e-1,2.0700e+10,9.7696e+10
0.06146,0.00208,1.3789e-1,2.1719e+10,1.1880e+11
0.06354,0.00208,1.3237e-1,1.6754e+10,6.9242e+10
0.06563,0.00208,1.2800e-1,2.2586e+10,5.5182e+10
0.06771,0.00208,1.2545e-1,1.9553e+10,1.0255e+11
0.06979,0.00208,1.2165e-1,1.8505e+10,9.3712e+10
0.07187,0.00208,1.1780e-1,1.9210e+10,1.2838e+11
0.07396,0.00208,1.1190e-1,2.3293e+10,1.3153e+11
0.07604,0.00208,1.0384e-1,2.1598e+10,7.4356e+10
0.07813,0.00208,9.7113e-2,2.1177e+10,8.0690e+10
0.08021,0.00208,9.0991e-2,2.1691e+10,1.1660e+11
0.08229,0.00208,8.3166e-2,1.8912e+10,9.2709e+10
0.08438,0.00208,7.4772e-2,2.0132e+10,7.8576e+10
0.08646,0.00208,6.6185e-2,1.9792e+10,6.7490e+10
0.08854,0.00208,5.7548e-2,1.4263e+10,5.6484e+10
0.09062,0.00208,4.8876e-2,5.2122e+9,5.2877e+10
0.09271,0.00208,3.9206e-2,1.1779e+9,2.2448e+10
0.09479,0.00208,2.9712e-2,2.9265e+8,3.6040e+10
0.09688,0.00208,1.8973e-2,6.2076e+7,3.9935e+10
0.09896,0.00208,6.5786e-3,6.9938e+5,1.7508e+10
0.00104,0.00625,5.4434e-1,2.0056e+9,0.0000e+0
0.00313,0.00625,5.4805e-1,1.4840e+10,2.0998e+11
0.00521,0.00625,5.4429e-1,1.1570e+10,1.4370e+11
0.00729,0.00625,5.3811e-1,1.0477e+10,1.6420e+7
0.00937,0.00625,5.3846e-1,1.2583e+10,2.5838e+10
0.01146,0.00625,5.4218e-1,2.0965e+10,1.0276e+11
0.01354,0.00625,5.4426e-1,1.5875e+10,1.3601e+11
0.01563,0.00625,5.4151e-1,2.5002e+10,6.7997e+10
0.01771,0.00625,5.3999e-1,2.4718e+10,8.3526e+10
0.01979,0.00625,5.3887e-1,3.1943e+10,1.1891e+11
0.02187,0.00625,5.3634e-1,2.8997e+10,9.2656e+10
0.02396,0.00625,5.3387e-1,3.0443e+10,5.4967e+10
0.02604,0.00625,5.3395e-1,2.7996e+10,5.1490e+10
0.02813,0.00625,5.3676e-1,3.5670e+10,1.4553e+11
0.03021,0.00625,5.3691e-1,2.9606e+10,2.0537e+11
0.03229,0.00625,5.3039e-1,3.1990e+10,1.2763e+11
0.03438,0.00625,5.2297e-1,2.9607e+10,8.4673e+10
0.03646,0.00625,5.1739e-1,3.2359e+10,1.2548e+11
0.03854,0.00625,5.1064e-1,3.2714e+10,1.4623e+11
0.04063,0.00625,5.0126e-1,3.8245e+10,8.4453e+10
0.04271,0.00625,4.9414e-1,3.3361e+10,1.1854e+11
0.04479,0.00625,4.8589e-1,3.4476e+10,1.4595e+11
0.04688,0.00625,4.7492e-1,3.5522e+10,9.1405e+10
0.04896,0.00625,4.6529e-1,3.5903e+10,1.5002e+11
0.05104,0.00625,4.5286e-1,2.9503e+10,1.1605e+11
0.05312,0.00625,4.3982e-1,2.9488e+10,8.6770e+10
0.05521,0.00625,4.2841e-1,3.8347e+10,1.5030e+11
0.05729,0.00625,4.1491e-1,2.6962e+10,1.0876e+11
0.05937,0.00625,4.0132e-1,3.1074e+10,9.3539e+10
0.06146,0.00625,3.8863e-1,3.3022e+10,9.0465e+10
0.06354,0.00625,3.7667e-1,3.1613e+10,6.6654e+10
0.06563,0.00625,3.6692e-1,3.7321e+10,1.2557e+11
0.06771,0.00625,3.5569e-1,2.6323e+10,1.3036e+11
0.06979,0.00625,3.4197e-1,2.8912e+10,1.0281e+11
0.07187,0.00625,3.2781e-1,2.9473e+10,1.2429e+11
0.07396,0.00625,3.1119e-1,3.5066e+10,1.5801e+11
0.07604,0.00625,2.9039e-1,3.4746e+10,8.1036e+10
0.07813,0.00625,2.7092e-1,3.2442e+10,1.0164e+11
0.08021,0.00625,2.5069e-1,3.2148e+10,9.8804e+10
0.08229,0.00625,2.2941e-1,3.0032e+10,8.2885e+10
0.08438,0.00625,2.0757e-1,2.5822e+10,8.4116e+10
0.08646,0.00625,1.8460e-1,2.4169e+10,8.2104e+10
0.08854,0.00625,1.6034e-1,1.9694e+10,5.1394e+10
0.09062,0.00625,1.3649e-1,7.6674e+9,6.0736e+10
