# EHR free-streaming geometric model  2026-09-10T21:43:38.153Z
# species=electron model=beltrami n=20000 Bwall_T=0.01
# Tseed_eV=3 R_m=0.1 L_m=0.4 Tmax_s=0.00005 seed=1 nexp=1
ratio,tauMean_s,tauSE_s,tauMedian_s,surviveFrac
0.25,0.0000013361534164542612,3.1703848881217663e-8,3.896904350278113e-7,0.00475
0.5,0.000001355130511615269,3.064002605805471e-8,4.0568220927850087e-7,0.0041
1,0.0000014781764513062544,3.332260180454005e-8,4.377259780593949e-7,0.00465
1.5,0.0000015681053410030274,3.4986387670716945e-8,4.576699367667465e-7,0.00525
2,0.000001741299741403373,3.763774585883644e-8,5.017830677877957e-7,0.007
3,0.0000017795300158009603,3.759924907945419e-8,5.301450877135435e-7,0.00645
