# EHR Phase 1 pitch scan  2026-07-19T05:10:21.878Z
# species=electron model=screw n=4000 Bwall_T=0.01 p_mTorr=10
# Tseed_eV=3 Tgas_K=300 R_m=0.1 L_m=0.4 Tmax_s=0.00005 dt_s=1.1371260207131446e-10 seed=1
ratio,Bz_T,BthWall_T,pitch_halfR_m,nTotal,nLost,surviveFrac,tauMean_s,tauSE_s,tauMedian_s,fracRadialLoss,fracEndLoss,ionEventsPerParticle
0,0.01,0,Infinity,4000,4000,0,0.0000010028663190076026,2.1860914866004605e-8,6.620347692592278e-7,0.004,0.996,0.00825
0.25,0.00970142500145332,0.00242535625036333,2.5132741228718345,4000,3999,0.00025,0.0000010152459542182108,2.0568605492996307e-8,6.843224392652067e-7,0.003250812703175794,0.9967491872968242,0.00625
0.5,0.008944271909999158,0.004472135954999579,1.2566370614359172,4000,4000,0,0.0000010242659788757701,1.7755953409346177e-8,6.896669315625588e-7,0.0055,0.9945,0.005
0.75,0.008,0.006,0.8377580409572781,4000,4000,0,0.0000011128913635344264,2.0969753509562877e-8,7.456135317816487e-7,0.005,0.995,0.00625
1,0.0070710678118654745,0.0070710678118654745,0.6283185307179586,4000,4000,0,0.0000012424628367973024,2.182377495798426e-8,8.321488219579241e-7,0.008,0.992,0.006
1.5,0.005547001962252292,0.008320502943378438,0.41887902047863906,4000,4000,0,0.000001567103417699716,2.7650530441903484e-8,0.0000010443365374229248,0.0105,0.9895,0.0075
2,0.004472135954999579,0.008944271909999158,0.3141592653589793,4000,4000,0,0.0000018931905366131264,3.6115367175775547e-8,0.0000012175208303773855,0.01325,0.98675,0.00775
3,0.0031622776601683794,0.009486832980505138,0.20943951023931956,4000,3997,0.00075,0.00000281703691682971,5.416531451712702e-8,0.0000017526523357245242,0.024768576432324243,0.9752314235676758,0.00625
