# EHR free-streaming geometric model  2026-07-19T05:53:21.524Z
# species=electron model=powerlaw n=20000 Bwall_T=0.01
# Tseed_eV=3 R_m=0.1 L_m=0.4 Tmax_s=0.00005 seed=1 nexp=2
ratio,tauMean_s,tauSE_s,tauMedian_s,surviveFrac
0,0.0000013510114218062215,3.195503620974184e-8,3.8413918528371576e-7,0.00445
0.5,0.0000013769194068533368,3.188717341774266e-8,3.982107679838182e-7,0.0044
1,0.000001416116783797844,3.221630442115601e-8,4.26914012024129e-7,0.00455
2,0.0000016766868211152273,3.516756583134708e-8,5.007355996678621e-7,0.00515
3,0.0000020672410150797423,4.082358643453e-8,6.259525890701976e-7,0.0078
