# EHR Phase 1 pitch scan  2026-07-19T05:33:18.030Z
# species=electron model=screw n=4000 Bwall_T=0.01 p_mTorr=3
# Tseed_eV=3 Tgas_K=300 R_m=0.1 L_m=0.4 Tmax_s=0.00005 dt_s=1.1371260207131446e-10 seed=1 nocoll=false dtscale=1
ratio,Bz_T,BthWall_T,pitch_halfR_m,nTotal,nLost,surviveFrac,tauMean_s,tauSE_s,tauMedian_s,fracRadialLoss,fracEndLoss,fracEndLow,fracEndHigh,ionEventsPerParticle
0,0.01,0,Infinity,4000,4000,0,7.956119963552758e-7,1.9742478699847618e-8,4.847568226300382e-7,0,1,0.51525,0.48475,0.00075
0.5,0.008944271909999158,0.004472135954999579,1.2566370614359172,4000,4000,0,8.067883531624239e-7,2.0552369058993833e-8,4.949909568164571e-7,0,1,0.4895,0.5105,0.00225
1,0.0070710678118654745,0.0070710678118654745,0.6283185307179586,4000,4000,0,9.507922583083317e-7,2.1917300443223056e-8,5.787971445430207e-7,0,1,0.50075,0.49925,0.002
2,0.004472135954999579,0.008944271909999158,0.3141592653589793,4000,4000,0,0.000001301965343795866,2.951026237114983e-8,8.067909116960195e-7,0.00125,0.99875,0.52425,0.4745,0.002
3,0.0031622776601683794,0.009486832980505138,0.20943951023931956,4000,3998,0.0005,0.0000018515026155744461,4.075626789196324e-8,0.000001160664529341778,0.0022511255627813906,0.9977488744372186,0.51975987993997,0.47798899449724863,0.00425
