# EHR Phase 3 ambipolar study  2026-07-19T10:01:08.065Z
# feedback=true ions=mobile mion_amu=1 Hi=3.9645598807473137 HiStar=0.5872884819658134 n0_m3=300000000000 model=screw nexp=1 n=1000 Bwall_T=0.01 p_mTorr=3
# Tseed_eV=3 R_m=0.1 L_m=0.4 Tmax_s=0.000025 dt_s=1.1371260207131446e-10 grid=48x96 fieldevery=5 seed=1
ratio,surviveFrac,tauMean_s,tauLeak_s,phiMax_V,fracRadialLoss,fracEndLoss,surviveFracIon,GiOverGe,Hi
0,0.015,0.000004147921481082473,Infinity,5.846822987371627,0,1,0.213,2.658536585365854,3.9645598807473137
3,0.011,0.000004626049881812682,Infinity,6.136124209387977,0.007077856420626896,0.9929221435793731,0.199,2.623529411764706,3.9645598807473137
