# EHR Phase 1 pitch scan  2026-07-19T05:31:05.202Z
# species=electron model=screw n=4000 Bwall_T=0.01 p_mTorr=10
# Tseed_eV=3 Tgas_K=300 R_m=0.1 L_m=0.4 Tmax_s=0.00005 dt_s=1.1371260207131446e-10 seed=1 nocoll=true dtscale=1
ratio,Bz_T,BthWall_T,pitch_halfR_m,nTotal,nLost,surviveFrac,tauMean_s,tauSE_s,tauMedian_s,fracRadialLoss,fracEndLoss,fracEndLow,fracEndHigh,ionEventsPerParticle
0,0.01,0,Infinity,4000,3989,0.00275,0.0000012084242779049283,5.91807396363172e-8,3.9094392592119833e-7,0,1,0.5159187766357483,0.4840812233642517,0
0.25,0.00970142500145332,0.00242535625036333,2.5132741228718345,4000,3985,0.00375,0.0000013739287631600153,6.994307037167689e-8,3.924221897481255e-7,0,1,0.5028858218318695,0.49711417816813047,0
0.5,0.008944271909999158,0.004472135954999579,1.2566370614359172,4000,3981,0.00475,0.0000013326053764478875,6.756070662544588e-8,4.203954898576705e-7,0,1,0.5048982667671439,0.49510173323285606,0
0.75,0.008,0.006,0.8377580409572781,4000,3983,0.00425,0.0000013997636126560303,6.777067708490041e-8,4.2346573011359616e-7,0,1,0.5074064775295004,0.49259352247049965,0
1,0.0070710678118654745,0.0070710678118654745,0.6283185307179586,4000,3981,0.00475,0.0000014590871646001226,7.057919476108778e-8,4.566698099184219e-7,0,1,0.5116804822908817,0.4883195177091183,0
1.5,0.005547001962252292,0.008320502943378438,0.41887902047863906,4000,3977,0.00575,0.0000017716376798163933,8.449224954098158e-8,5.279676114171402e-7,0,1,0.5061604224289665,0.4938395775710334,0
2,0.004472135954999579,0.008944271909999158,0.3141592653589793,4000,3970,0.0075,0.000002000229291510566,8.737293528727259e-8,6.124560747561318e-7,0,1,0.49899244332493703,0.501007556675063,0
3,0.0031622776601683794,0.009486832980505138,0.20943951023931956,4000,3970,0.0075,0.0000024337445434015343,9.419624666959022e-8,7.971253405199572e-7,0,1,0.4926952141057935,0.5073047858942066,0
