# EHR Phase 1 pitch scan  2026-07-19T05:33:30.324Z
# species=electron model=screw n=4000 Bwall_T=0.01 p_mTorr=30
# Tseed_eV=3 Tgas_K=300 R_m=0.1 L_m=0.4 Tmax_s=0.00005 dt_s=8.873359793222603e-11 seed=1 nocoll=false dtscale=1
ratio,Bz_T,BthWall_T,pitch_halfR_m,nTotal,nLost,surviveFrac,tauMean_s,tauSE_s,tauMedian_s,fracRadialLoss,fracEndLoss,fracEndLow,fracEndHigh,ionEventsPerParticle
0,0.01,0,Infinity,4000,4000,0,0.0000016799548545535904,3.162226590431335e-8,0.0000011187532027295557,0.02325,0.97675,0.4945,0.48225,0.01075
0.5,0.008944271909999158,0.004472135954999579,1.2566370614359172,4000,3999,0.00025,0.0000018428650468023727,3.212605765200062e-8,0.0000012710200567814098,0.030007501875468866,0.9699924981245311,0.49287321830457614,0.477119279819955,0.01
1,0.0070710678118654745,0.0070710678118654745,0.6283185307179586,4000,4000,0,0.0000021294467186314243,3.3831644843647364e-8,0.000001473865061654684,0.04375,0.95625,0.50125,0.455,0.00775
2,0.004472135954999579,0.008944271909999158,0.3141592653589793,4000,4000,0,0.0000033228267184433827,5.3067484954908016e-8,0.0000022531235186962823,0.069,0.931,0.51725,0.41375,0.00875
3,0.0031622776601683794,0.009486832980505138,0.20943951023931956,4000,3997,0.00075,0.000004963745317617668,8.570793250129465e-8,0.0000031817206210579685,0.09907430572929697,0.900925694270703,0.5098824118088566,0.3910432824618464,0.01
