# EHR Phase 1 pitch scan  2026-07-19T05:51:50.034Z
# species=electron model=powerlaw n=4000 Bwall_T=0.01 p_mTorr=10
# Tseed_eV=3 Tgas_K=300 R_m=0.1 L_m=0.4 Tmax_s=0.00005 dt_s=1.1371260207131446e-10 seed=1 nocoll=false dtscale=1 nexp=0.5
ratio,Bz_T,BthWall_T,pitch_halfR_m,nTotal,nLost,surviveFrac,tauMean_s,tauSE_s,tauMedian_s,fracRadialLoss,fracEndLoss,fracEndLow,fracEndHigh,ionEventsPerParticle
0,0.01,0,Infinity,4000,4000,0,0.0000010028663190076026,2.1860914866004605e-8,6.620347692592278e-7,0.004,0.996,0.5085,0.4875,0.00825
0.5,0.008944271909999158,0.004472135954999579,0.8885765876316731,4000,3999,0.00025,0.0000010978494037526862,2.3081972253300877e-8,7.462958073940767e-7,0.005251312828207052,0.994748687171793,0.48612153038259565,0.5086271567891973,0.006
1,0.0070710678118654745,0.0070710678118654745,0.44428829381583657,4000,4000,0,0.0000013178764943561007,2.25077217665665e-8,8.810452408485921e-7,0.00725,0.99275,0.50425,0.4885,0.00425
2,0.004472135954999579,0.008944271909999158,0.22214414690791828,4000,3999,0.00025,0.000002261770491448913,3.9441526324389403e-8,0.0000015355749783705744,0.014003500875218804,0.9859964991247812,0.5208802200550138,0.46511627906976744,0.007
3,0.0031622776601683794,0.009486832980505138,0.1480960979386122,4000,3998,0.0005,0.0000036620918631932593,6.279638112092438e-8,0.000002427764054222298,0.028514257128564282,0.9714857428714357,0.5412706353176588,0.4302151075537769,0.00925
