r_m,z_m,phi_V,ne_m3,ni_m3
0.06979,0.00625,2.5347e-1,0.0000e+0,0.0000e+0
0.07187,0.00625,2.3727e-1,0.0000e+0,0.0000e+0
0.07396,0.00625,2.2076e-1,0.0000e+0,0.0000e+0
0.07604,0.00625,2.0395e-1,0.0000e+0,0.0000e+0
0.07813,0.00625,1.8684e-1,0.0000e+0,0.0000e+0
0.08021,0.00625,1.6944e-1,0.0000e+0,0.0000e+0
0.08229,0.00625,1.5179e-1,0.0000e+0,0.0000e+0
0.08438,0.00625,1.3394e-1,0.0000e+0,0.0000e+0
0.08646,0.00625,1.1595e-1,0.0000e+0,0.0000e+0
0.08854,0.00625,9.7878e-2,0.0000e+0,0.0000e+0
0.09062,0.00625,7.9784e-2,0.0000e+0,0.0000e+0
0.09271,0.00625,6.1737e-2,0.0000e+0,0.0000e+0
0.09479,0.00625,4.3804e-2,0.0000e+0,0.0000e+0
0.09688,0.00625,2.6065e-2,0.0000e+0,0.0000e+0
0.09896,0.00625,8.5798e-3,0.0000e+0,0.0000e+0
0.00104,0.01042,8.5217e-1,0.0000e+0,0.0000e+0
0.00313,0.01042,8.5090e-1,0.0000e+0,0.0000e+0
0.00521,0.01042,8.4845e-1,0.0000e+0,0.0000e+0
0.00729,0.01042,8.4497e-1,0.0000e+0,0.0000e+0
0.00937,0.01042,8.4042e-1,0.0000e+0,0.0000e+0
0.01146,0.01042,8.3487e-1,0.0000e+0,0.0000e+0
0.01354,0.01042,8.2845e-1,0.0000e+0,0.0000e+0
0.01563,0.01042,8.2144e-1,0.0000e+0,0.0000e+0
0.01771,0.01042,8.1437e-1,0.0000e+0,0.0000e+0
0.01979,0.01042,8.0778e-1,0.0000e+0,0.0000e+0
0.02187,0.01042,8.0135e-1,0.0000e+0,0.0000e+0
0.02396,0.01042,7.9449e-1,0.0000e+0,0.0000e+0
0.02604,0.01042,7.8679e-1,0.0000e+0,0.0000e+0
0.02813,0.01042,7.7798e-1,0.0000e+0,0.0000e+0
0.03021,0.01042,7.6790e-1,0.0000e+0,0.0000e+0
0.03229,0.01042,7.5659e-1,0.0000e+0,0.0000e+0
0.03438,0.01042,7.4419e-1,0.0000e+0,0.0000e+0
0.03646,0.01042,7.3110e-1,0.0000e+0,0.0000e+0
0.03854,0.01042,7.1835e-1,0.0000e+0,0.0000e+0
0.04063,0.01042,7.0664e-1,0.0000e+0,0.0000e+0
0.04271,0.01042,6.9437e-1,0.0000e+0,0.0000e+0
0.04479,0.01042,6.8099e-1,0.0000e+0,0.0000e+0
0.04688,0.01042,6.6630e-1,0.0000e+0,0.0000e+0
0.04896,0.01042,6.5028e-1,0.0000e+0,0.0000e+0
0.05104,0.01042,6.3293e-1,0.0000e+0,0.0000e+0
0.05312,0.01042,6.1432e-1,0.0000e+0,0.0000e+0
0.05521,0.01042,5.9450e-1,0.0000e+0,0.0000e+0
0.05729,0.01042,5.7352e-1,0.0000e+0,0.0000e+0
0.05937,0.01042,5.5141e-1,0.0000e+0,0.0000e+0
0.06146,0.01042,5.2822e-1,0.0000e+0,0.0000e+0
0.06354,0.01042,5.0402e-1,0.0000e+0,0.0000e+0
0.06563,0.01042,4.7888e-1,0.0000e+0,0.0000e+0
0.06771,0.01042,4.5288e-1,0.0000e+0,0.0000e+0
0.06979,0.01042,4.2618e-1,0.0000e+0,0.0000e+0
0.07187,0.01042,3.9896e-1,0.0000e+0,0.0000e+0
0.07396,0.01042,3.7135e-1,0.0000e+0,0.0000e+0
0.07604,0.01042,3.4326e-1,0.0000e+0,0.0000e+0
0.07813,0.01042,3.1464e-1,0.0000e+0,0.0000e+0
0.08021,0.01042,2.8549e-1,0.0000e+0,0.0000e+0
0.08229,0.01042,2.5587e-1,0.0000e+0,0.0000e+0
0.08438,0.01042,2.2586e-1,0.0000e+0,0.0000e+0
0.08646,0.01042,1.9557e-1,0.0000e+0,0.0000e+0
0.08854,0.01042,1.6512e-1,0.0000e+0,0.0000e+0
0.09062,0.01042,1.3461e-1,0.0000e+0,0.0000e+0
0.09271,0.01042,1.0417e-1,0.0000e+0,0.0000e+0
0.09479,0.01042,7.3926e-2,0.0000e+0,0.0000e+0
0.09688,0.01042,4.3987e-2,0.0000e+0,0.0000e+0
0.09896,0.01042,1.4479e-2,0.0000e+0,0.0000e+0
