# EHR Phase 1 pitch scan  2026-07-19T05:10:47.352Z
# species=electron model=beltrami n=4000 Bwall_T=0.01 p_mTorr=10
# Tseed_eV=3 Tgas_K=300 R_m=0.1 L_m=0.4 Tmax_s=0.00005 dt_s=7.580840138087632e-11 seed=1
ratio,Bz_T,BthWall_T,pitch_halfR_m,nTotal,nLost,surviveFrac,tauMean_s,tauSE_s,tauMedian_s,fracRadialLoss,fracEndLoss,ionEventsPerParticle
0.25,0.01029854586076957,0.002425356250363327,2.5711403535488095,4000,4000,0,9.831364149878345e-7,1.747219552764449e-8,6.818965704210178e-7,0.004,0.996,0.0065
0.5,0.011054487043840626,0.004472135954999582,1.3668663709190187,4000,3999,0.00025,0.0000010373303534716556,2.0635243082552626e-8,7.143425662120347e-7,0.005251312828207052,0.994748687171793,0.00575
1,0.012904669458292484,0.007071067811865475,0.8183024351862567,4000,4000,0,0.0000011939828334551275,2.4130198533824322e-8,7.898477339873919e-7,0.0075,0.9925,0.00525
1.5,0.014373260746191063,0.008320502943378437,0.6604773112049531,4000,4000,0,0.0000013189144345591955,2.5756924650443488e-8,8.653529017627491e-7,0.006,0.994,0.00625
2,0.015381956582722612,0.00894427190999916,0.589862957695091,4000,3999,0.00025,0.000001409074702520895,2.7221304017259154e-8,9.286529169157845e-7,0.010252563140785197,0.9897474368592148,0.00775
3,0.016575262144731973,0.009486832980505138,0.5261058004331456,4000,4000,0,0.0000015446916967200332,2.8208126767967243e-8,0.0000010139373684692753,0.0115,0.9885,0.00625
