r_m,z_m,phi_V,ne_m3,ni_m3
0.06979,0.00625,2.1628e-1,4.9536e+10,6.4049e+10
0.07187,0.00625,2.0725e-1,4.4959e+10,8.9929e+10
0.07396,0.00625,1.9675e-1,5.2878e+10,8.8955e+10
0.07604,0.00625,1.8581e-1,4.4878e+10,8.3064e+10
0.07813,0.00625,1.7432e-1,4.4213e+10,1.1351e+11
0.08021,0.00625,1.6011e-1,4.2067e+10,7.7127e+10
0.08229,0.00625,1.4529e-1,3.5427e+10,6.7866e+10
0.08438,0.00625,1.2963e-1,3.9822e+10,6.5774e+10
0.08646,0.00625,1.1332e-1,3.4305e+10,6.1037e+10
0.08854,0.00625,9.5968e-2,3.1635e+10,2.1023e+10
0.09062,0.00625,8.0341e-2,2.3645e+10,2.9444e+10
0.09271,0.00625,6.5169e-2,1.1157e+10,3.1460e+10
0.09479,0.00625,4.9574e-2,2.7320e+9,5.3393e+10
0.09688,0.00625,3.1472e-2,5.2555e+8,4.9465e+10
0.09896,0.00625,1.0680e-2,2.2184e+8,1.5796e+10
0.00104,0.01042,6.5368e-1,1.1339e+10,0.0000e+0
0.00313,0.01042,6.5519e-1,1.3141e+10,0.0000e+0
0.00521,0.01042,6.5827e-1,1.1879e+10,0.0000e+0
0.00729,0.01042,6.6282e-1,2.0779e+10,0.0000e+0
0.00937,0.01042,6.6950e-1,2.4686e+10,0.0000e+0
0.01146,0.01042,6.7854e-1,1.9083e+10,5.2649e+10
0.01354,0.01042,6.8593e-1,1.6466e+10,1.3066e+11
0.01563,0.01042,6.8745e-1,2.5275e+10,1.2831e+11
0.01771,0.01042,6.8418e-1,3.1688e+10,1.2803e+11
0.01979,0.01042,6.7676e-1,3.2013e+10,9.7750e+10
0.02187,0.01042,6.6679e-1,3.5391e+10,7.8140e+10
0.02396,0.01042,6.5615e-1,3.2956e+10,8.1209e+10
0.02604,0.01042,6.4469e-1,2.8632e+10,2.6545e+10
0.02813,0.01042,6.3614e-1,3.0746e+10,7.8233e+10
0.03021,0.01042,6.2680e-1,3.0277e+10,9.2138e+10
0.03229,0.01042,6.1566e-1,3.9174e+10,7.6489e+10
0.03438,0.01042,6.0494e-1,3.5107e+10,8.1237e+10
0.03646,0.01042,5.9410e-1,3.4469e+10,1.2512e+11
0.03854,0.01042,5.7995e-1,4.2433e+10,1.0359e+11
0.04063,0.01042,5.6427e-1,5.0309e+10,7.2670e+10
0.04271,0.01042,5.4946e-1,4.9867e+10,5.1800e+10
0.04479,0.01042,5.3694e-1,4.8691e+10,6.2100e+10
0.04688,0.01042,5.2564e-1,4.7681e+10,6.0016e+10
0.04896,0.01042,5.1500e-1,4.7945e+10,1.0484e+11
0.05104,0.01042,5.0179e-1,4.5895e+10,1.1406e+11
0.05312,0.01042,4.8558e-1,4.9903e+10,7.7871e+10
0.05521,0.01042,4.6887e-1,5.0037e+10,7.2744e+10
0.05729,0.01042,4.5185e-1,5.5408e+10,6.6647e+10
0.05937,0.01042,4.3472e-1,5.6963e+10,4.2429e+10
0.06146,0.01042,4.1889e-1,5.2591e+10,3.8343e+10
0.06354,0.01042,4.0393e-1,5.7123e+10,5.7133e+10
0.06563,0.01042,3.8861e-1,5.3063e+10,7.0913e+10
0.06771,0.01042,3.7189e-1,5.1808e+10,5.9396e+10
0.06979,0.01042,3.5494e-1,5.8476e+10,6.9785e+10
0.07187,0.01042,3.3789e-1,5.6557e+10,1.0056e+11
0.07396,0.01042,3.1878e-1,6.7500e+10,9.0152e+10
0.07604,0.01042,2.9932e-1,5.8834e+10,9.4072e+10
0.07813,0.01042,2.7828e-1,5.4662e+10,7.8039e+10
0.08021,0.01042,2.5621e-1,4.9247e+10,8.1111e+10
0.08229,0.01042,2.3257e-1,4.8602e+10,6.3272e+10
0.08438,0.01042,2.0820e-1,4.5446e+10,5.2387e+10
0.08646,0.01042,1.8364e-1,3.8580e+10,7.2007e+10
0.08854,0.01042,1.5717e-1,4.1373e+10,3.8334e+10
0.09062,0.01042,1.3150e-1,2.8407e+10,3.4523e+10
0.09271,0.01042,1.0557e-1,1.4325e+10,2.9584e+10
0.09479,0.01042,7.8473e-2,4.8553e+9,3.1493e+10
0.09688,0.01042,4.9311e-2,8.5327e+8,4.7599e+10
0.09896,0.01042,1.6752e-2,2.3163e+8,1.7631e+10
0.00104,0.01458,9.0521e-1,2.1336e+10,0.0000e+0
0.00313,0.01458,9.0726e-1,1.5444e+10,0.0000e+0
0.00521,0.01458,9.1111e-1,1.5676e+10,0.0000e+0
0.00729,0.01458,9.1682e-1,2.6127e+10,0.0000e+0
0.00937,0.01458,9.2508e-1,2.4170e+10,3.0686e+9
0.01146,0.01458,9.3536e-1,2.0502e+10,1.0444e+11
0.01354,0.01458,9.4000e-1,1.6940e+10,8.3001e+10
0.01563,0.01458,9.4104e-1,2.9566e+10,1.5886e+11
0.01771,0.01458,9.3496e-1,3.4588e+10,1.0236e+11
0.01979,0.01458,9.2640e-1,4.0259e+10,1.1505e+11
0.02187,0.01458,9.1523e-1,4.6354e+10,1.3195e+11
0.02396,0.01458,9.0139e-1,4.3743e+10,8.7396e+10
0.02604,0.01458,8.8818e-1,4.3170e+10,1.0324e+11
0.02813,0.01458,8.7485e-1,4.6911e+10,1.2501e+11
0.03021,0.01458,8.5984e-1,4.4049e+10,1.1812e+11
0.03229,0.01458,8.4315e-1,4.8798e+10,9.0679e+10
0.03438,0.01458,8.2645e-1,5.1049e+10,1.0816e+11
0.03646,0.01458,8.0845e-1,4.9360e+10,9.7696e+10
0.03854,0.01458,7.8939e-1,5.6973e+10,8.5168e+10
0.04063,0.01458,7.7082e-1,5.6466e+10,8.3742e+10
0.04271,0.01458,7.5256e-1,5.3730e+10,4.3516e+10
0.04479,0.01458,7.3679e-1,5.4384e+10,4.2702e+10
0.04688,0.01458,7.2302e-1,5.1113e+10,8.3202e+10
0.04896,0.01458,7.0790e-1,5.5228e+10,1.3352e+11
0.05104,0.01458,6.8853e-1,5.7019e+10,9.6188e+10
0.05312,0.01458,6.6812e-1,5.8258e+10,1.1449e+11
0.05521,0.01458,6.4561e-1,6.0662e+10,8.2882e+10
0.05729,0.01458,6.2312e-1,6.7319e+10,6.6776e+10
0.05937,0.01458,6.0228e-1,7.2458e+10,5.9543e+10
0.06146,0.01458,5.8422e-1,6.1143e+10,1.0715e+11
0.06354,0.01458,5.6482e-1,5.8559e+10,1.3323e+11
0.06563,0.01458,5.4289e-1,5.9305e+10,1.2952e+11
0.06771,0.01458,5.1879e-1,5.7608e+10,1.2346e+11
0.06979,0.01458,4.9245e-1,6.4943e+10,1.0705e+11
0.07187,0.01458,4.6502e-1,6.6971e+10,8.5887e+10
0.07396,0.01458,4.3732e-1,7.3765e+10,7.1730e+10
0.07604,0.01458,4.1025e-1,6.4060e+10,8.9725e+10
0.07813,0.01458,3.8132e-1,6.1071e+10,7.8070e+10
0.08021,0.01458,3.5095e-1,6.0232e+10,5.6475e+10
0.08229,0.01458,3.2057e-1,5.6564e+10,8.5004e+10
0.08438,0.01458,2.8777e-1,6.1222e+10,7.2831e+10
0.08646,0.01458,2.5358e-1,5.2139e+10,5.0503e+10
0.08854,0.01458,2.1862e-1,5.1598e+10,3.5726e+10
0.09062,0.01458,1.8409e-1,3.0896e+10,4.3105e+10
0.09271,0.01458,1.4828e-1,1.4645e+10,5.1013e+10
0.09479,0.01458,1.0972e-1,5.5262e+9,3.9138e+10
0.09688,0.01458,6.8702e-2,1.1835e+9,5.5485e+10
0.09896,0.01458,2.3918e-2,2.6700e+8,5.0697e+10
0.00104,0.01875,1.1470e+0,2.4491e+10,0.0000e+0
0.00313,0.01875,1.1492e+0,2.9577e+10,0.0000e+0
0.00521,0.01875,1.1538e+0,2.5110e+10,0.0000e+0
0.00729,0.01875,1.1608e+0,3.2727e+10,0.0000e+0
0.00937,0.01875,1.1710e+0,3.1086e+10,2.8687e+10
0.01146,0.01875,1.1829e+0,3.1776e+10,1.8525e+11
0.01354,0.01875,1.1860e+0,2.9055e+10,1.5537e+11
0.01563,0.01875,1.1838e+0,3.6171e+10,1.4264e+11
0.01771,0.01875,1.1778e+0,3.7668e+10,1.6676e+11
0.01979,0.01875,1.1672e+0,4.5325e+10,1.7147e+11
0.02187,0.01875,1.1523e+0,5.3731e+10,1.4907e+11
0.02396,0.01875,1.1351e+0,5.1879e+10,1.1708e+11
0.02604,0.01875,1.1175e+0,5.7604e+10,1.0319e+11
0.02813,0.01875,1.1000e+0,6.2013e+10,1.2204e+11
0.03021,0.01875,1.0808e+0,5.5146e+10,7.7801e+10
0.03229,0.01875,1.0618e+0,5.4914e+10,1.2304e+11
0.03438,0.01875,1.0395e+0,6.2440e+10,1.0310e+11
0.03646,0.01875,1.0161e+0,6.2329e+10,9.6527e+10
0.03854,0.01875,9.9207e-1,6.5146e+10,4.5501e+10
0.04063,0.01875,9.7132e-1,6.1779e+10,6.0984e+10
0.04271,0.01875,9.5228e-1,6.3954e+10,6.5708e+10
0.04479,0.01875,9.3503e-1,5.8528e+10,8.8293e+10
0.04688,0.01875,9.1824e-1,5.7331e+10,1.7260e+11
0.04896,0.01875,8.9616e-1,6.5779e+10,1.6093e+11
0.05104,0.01875,8.7040e-1,6.9553e+10,1.1442e+11
0.05312,0.01875,8.4476e-1,7.2234e+10,1.1996e+11
0.05521,0.01875,8.1868e-1,7.0406e+10,1.2965e+11
0.05729,0.01875,7.9113e-1,8.2457e+10,9.4292e+10
0.05937,0.01875,7.6545e-1,8.0275e+10,7.4443e+10
0.06146,0.01875,7.4307e-1,7.0723e+10,1.9176e+11
0.06354,0.01875,7.1501e-1,6.6741e+10,1.0547e+11
0.06563,0.01875,6.8675e-1,6.4895e+10,1.1339e+11
0.06771,0.01875,6.5704e-1,6.5677e+10,1.2884e+11
0.06979,0.01875,6.2431e-1,6.8532e+10,9.6604e+10
0.07187,0.01875,5.9050e-1,6.6710e+10,6.4772e+10
0.07396,0.01875,5.5706e-1,8.4312e+10,8.6400e+10
0.07604,0.01875,5.2362e-1,7.3927e+10,1.0427e+11
0.07813,0.01875,4.8800e-1,6.6177e+10,9.5314e+10
0.08021,0.01875,4.5003e-1,6.8658e+10,6.6349e+10
0.08229,0.01875,4.1250e-1,6.2925e+10,1.0897e+11
0.08438,0.01875,3.7260e-1,6.8989e+10,1.2023e+11
0.08646,0.01875,3.3045e-1,6.6337e+10,1.1295e+11
0.08854,0.01875,2.8655e-1,6.1449e+10,9.8840e+10
0.09062,0.01875,2.4122e-1,4.3273e+10,8.1162e+10
0.09271,0.01875,1.9390e-1,1.9025e+10,6.8249e+10
0.09479,0.01875,1.4377e-1,7.2279e+9,7.2208e+10
0.09688,0.01875,8.9767e-2,1.4266e+9,7.6423e+10
0.09896,0.01875,3.1354e-2,3.9392e+8,7.4556e+10
0.00104,0.02292,1.3791e+0,3.1373e+10,0.0000e+0
0.00313,0.02292,1.3813e+0,3.0765e+10,0.0000e+0
0.00521,0.02292,1.3858e+0,2.3895e+10,0.0000e+0
0.00729,0.02292,1.3922e+0,3.0727e+10,0.0000e+0
0.00937,0.02292,1.4010e+0,3.6854e+10,5.5977e+9
0.01146,0.02292,1.4123e+0,3.3655e+10,1.9362e+11
0.01354,0.02292,1.4131e+0,3.7270e+10,1.1556e+11
0.01563,0.02292,1.4105e+0,4.5770e+10,1.4556e+11
0.01771,0.02292,1.4029e+0,4.4540e+10,1.2986e+11
0.01979,0.02292,1.3905e+0,5.2812e+10,1.2996e+11
0.02187,0.02292,1.3746e+0,6.3589e+10,1.4034e+11
0.02396,0.02292,1.3557e+0,6.4681e+10,7.8906e+10
0.02604,0.02292,1.3383e+0,6.4141e+10,1.2389e+11
0.02813,0.02292,1.3182e+0,6.1529e+10,6.2994e+10
0.03021,0.02292,1.2990e+0,5.9465e+10,1.0281e+11
0.03229,0.02292,1.2775e+0,6.3326e+10,1.8344e+11
0.03438,0.02292,1.2495e+0,6.8434e+10,1.0610e+11
0.03646,0.02292,1.2212e+0,6.7971e+10,1.0501e+11
0.03854,0.02292,1.1926e+0,6.7839e+10,2.7943e+10
0.04063,0.02292,1.1693e+0,6.6306e+10,7.7330e+10
0.04271,0.02292,1.1478e+0,7.7587e+10,1.4100e+11
0.04479,0.02292,1.1253e+0,8.1045e+10,1.3940e+11
0.04688,0.02292,1.1019e+0,6.9464e+10,1.8431e+11
0.04896,0.02292,1.0733e+0,7.8913e+10,1.5306e+11
0.05104,0.02292,1.0419e+0,8.4651e+10,8.9500e+10
0.05312,0.02292,1.0122e+0,8.4748e+10,9.6802e+10
0.05521,0.02292,9.8304e-1,8.3263e+10,1.2829e+11
0.05729,0.02292,9.5188e-1,9.0953e+10,1.1788e+11
0.05937,0.02292,9.2060e-1,9.0593e+10,1.0598e+11
0.06146,0.02292,8.9001e-1,8.3216e+10,1.2103e+11
0.06354,0.02292,8.5758e-1,8.0090e+10,9.5616e+10
0.06563,0.02292,8.2487e-1,8.1284e+10,1.0647e+11
0.06771,0.02292,7.9131e-1,8.6307e+10,1.3212e+11
0.06979,0.02292,7.5567e-1,8.0196e+10,1.1677e+11
0.07187,0.02292,7.1901e-1,7.1001e+10,1.2796e+11
0.07396,0.02292,6.7990e-1,9.3989e+10,1.3101e+11
0.07604,0.02292,6.3997e-1,8.8191e+10,1.2601e+11
0.07813,0.02292,5.9883e-1,8.7702e+10,1.8664e+11
0.08021,0.02292,5.5198e-1,8.5031e+10,1.2735e+11
0.08229,0.02292,5.0335e-1,6.6680e+10,7.6551e+10
0.08438,0.02292,4.5443e-1,7.4611e+10,1.0180e+11
0.08646,0.02292,4.0382e-1,7.1881e+10,8.5959e+10
0.08854,0.02292,3.5263e-1,6.4118e+10,1.1527e+11
0.09062,0.02292,2.9869e-1,4.6961e+10,1.3318e+11
0.09271,0.02292,2.3969e-1,1.9753e+10,7.9154e+10
0.09479,0.02292,1.7748e-1,8.3650e+9,9.7073e+10
0.09688,0.02292,1.0974e-1,2.2632e+9,7.1337e+10
0.09896,0.02292,3.7765e-2,5.4866e+8,6.2331e+10
0.00104,0.02708,1.6034e+0,2.4633e+10,0.0000e+0
0.00313,0.02708,1.6052e+0,3.4261e+10,0.0000e+0
0.00521,0.02708,1.6091e+0,3.0532e+10,0.0000e+0
0.00729,0.02708,1.6147e+0,3.0778e+10,0.0000e+0
0.00937,0.02708,1.6219e+0,3.5597e+10,1.2731e+10
0.01146,0.02708,1.6294e+0,4.1211e+10,1.2392e+11
0.01354,0.02708,1.6294e+0,4.8148e+10,5.9031e+10
0.01563,0.02708,1.6285e+0,6.0477e+10,1.1223e+11
0.01771,0.02708,1.6247e+0,5.6070e+10,2.3870e+11
0.01979,0.02708,1.6100e+0,5.9103e+10,1.6058e+11
0.02187,0.02708,1.5915e+0,6.9806e+10,1.2199e+11
0.02396,0.02708,1.5719e+0,7.0364e+10,2.6672e+10
0.02604,0.02708,1.5574e+0,6.6633e+10,1.6170e+11
0.02813,0.02708,1.5383e+0,6.3891e+10,1.2223e+11
0.03021,0.02708,1.5180e+0,6.2803e+10,2.4207e+11
0.03229,0.02708,1.4882e+0,6.4856e+10,1.6215e+11
0.03438,0.02708,1.4556e+0,7.8268e+10,1.4656e+11
0.03646,0.02708,1.4222e+0,8.0821e+10,1.2385e+11
0.03854,0.02708,1.3902e+0,7.8367e+10,9.8376e+10
0.04063,0.02708,1.3609e+0,7.7392e+10,1.1831e+11
0.04271,0.02708,1.3323e+0,8.5209e+10,1.1038e+11
0.04479,0.02708,1.3046e+0,9.6261e+10,1.4502e+11
0.04688,0.02708,1.2753e+0,8.4749e+10,1.3916e+11
0.04896,0.02708,1.2430e+0,9.8508e+10,1.1323e+11
0.05104,0.02708,1.2104e+0,9.8444e+10,1.0932e+11
0.05312,0.02708,1.1782e+0,1.0112e+11,1.2364e+11
0.05521,0.02708,1.1458e+0,1.0305e+11,1.8316e+11
0.05729,0.02708,1.1092e+0,1.0944e+11,1.2913e+11
0.05937,0.02708,1.0725e+0,1.1303e+11,1.1141e+11
0.06146,0.02708,1.0367e+0,9.7016e+10,1.1012e+11
0.06354,0.02708,1.0006e+0,8.6220e+10,1.2487e+11
0.06563,0.02708,9.6270e-1,9.9589e+10,1.2517e+11
0.06771,0.02708,9.2380e-1,1.1186e+11,1.3771e+11
0.06979,0.02708,8.8395e-1,1.0333e+11,1.1816e+11
0.07187,0.02708,8.4380e-1,8.8537e+10,1.6059e+11
0.07396,0.02708,7.9886e-1,1.0353e+11,1.1335e+11
0.07604,0.02708,7.5372e-1,9.4206e+10,1.3307e+11
0.07813,0.02708,7.0610e-1,1.0108e+11,1.8137e+11
0.08021,0.02708,6.5278e-1,1.0301e+11,1.3395e+11
0.08229,0.02708,5.9716e-1,9.5845e+10,1.2968e+11
0.08438,0.02708,5.3940e-1,9.5671e+10,1.1996e+11
0.08646,0.02708,4.7995e-1,8.1395e+10,1.0744e+11
0.08854,0.02708,4.1862e-1,7.2162e+10,1.1143e+11
0.09062,0.02708,3.5451e-1,5.1794e+10,1.2933e+11
0.09271,0.02708,2.8507e-1,2.3419e+10,9.3886e+10
0.09479,0.02708,2.1120e-1,9.8325e+9,1.1015e+11
0.09688,0.02708,1.3093e-1,2.6271e+9,9.4294e+10
0.09896,0.02708,4.5211e-2,6.0622e+8,8.5950e+10
0.00104,0.03125,1.8214e+0,3.1968e+10,0.0000e+0
0.00313,0.03125,1.8235e+0,2.9687e+10,0.0000e+0
0.00521,0.03125,1.8274e+0,3.4026e+10,0.0000e+0
0.00729,0.03125,1.8336e+0,3.8252e+10,6.5041e+8
0.00937,0.03125,1.8421e+0,4.0687e+10,8.6822e+10
0.01146,0.03125,1.8477e+0,4.4046e+10,1.5377e+11
0.01354,0.03125,1.8465e+0,5.1222e+10,1.1362e+11
0.01563,0.03125,1.8430e+0,6.5895e+10,1.4277e+11
0.01771,0.03125,1.8367e+0,6.1073e+10,2.4354e+11
0.01979,0.03125,1.8202e+0,6.2103e+10,1.0436e+11
0.02187,0.03125,1.8038e+0,7.1627e+10,1.1617e+11
0.02396,0.03125,1.7871e+0,7.6029e+10,1.1847e+11
0.02604,0.03125,1.7701e+0,7.3666e+10,1.5116e+11
0.02813,0.03125,1.7509e+0,7.2023e+10,2.3318e+11
0.03021,0.03125,1.7255e+0,6.6221e+10,3.2028e+11
0.03229,0.03125,1.6881e+0,7.4662e+10,1.5681e+11
0.03438,0.03125,1.6507e+0,8.2300e+10,1.7612e+11
0.03646,0.03125,1.6124e+0,8.4860e+10,1.1434e+11
0.03854,0.03125,1.5768e+0,8.8777e+10,1.1544e+11
0.04063,0.03125,1.5430e+0,8.7833e+10,1.0237e+11
0.04271,0.03125,1.5110e+0,9.7279e+10,1.1849e+11
0.04479,0.03125,1.4798e+0,1.0434e+11,1.2168e+11
0.04688,0.03125,1.4493e+0,1.0549e+11,1.8219e+11
0.04896,0.03125,1.4151e+0,1.1204e+11,1.8295e+11
0.05104,0.03125,1.3786e+0,1.1576e+11,1.4324e+11
0.05312,0.03125,1.3432e+0,1.2157e+11,1.8925e+11
0.05521,0.03125,1.3057e+0,1.1802e+11,1.8071e+11
0.05729,0.03125,1.2659e+0,1.2082e+11,1.4578e+11
0.05937,0.03125,1.2262e+0,1.1396e+11,1.4928e+11
0.06146,0.03125,1.1854e+0,1.0727e+11,1.2746e+11
0.06354,0.03125,1.1438e+0,1.0169e+11,1.2352e+11
0.06563,0.03125,1.1013e+0,1.1778e+11,1.6225e+11
0.06771,0.03125,1.0568e+0,1.2245e+11,1.2745e+11
0.06979,0.03125,1.0135e+0,1.2201e+11,1.4721e+11
0.07187,0.03125,9.7008e-1,9.8615e+10,2.0632e+11
0.07396,0.03125,9.2059e-1,1.0596e+11,1.4963e+11
