# EHR Phase 1 pitch scan  2026-07-19T05:34:24.798Z
# species=electron model=screw n=4000 Bwall_T=0.005 p_mTorr=10
# Tseed_eV=3 Tgas_K=300 R_m=0.1 L_m=0.4 Tmax_s=0.00005 dt_s=2.2742520414262892e-10 seed=1 nocoll=false dtscale=1
ratio,Bz_T,BthWall_T,pitch_halfR_m,nTotal,nLost,surviveFrac,tauMean_s,tauSE_s,tauMedian_s,fracRadialLoss,fracEndLoss,fracEndLow,fracEndHigh,ionEventsPerParticle
0,0.005,0,Infinity,4000,4000,0,9.626761064974674e-7,1.9110390712551686e-8,6.649912969130786e-7,0.0155,0.9845,0.4995,0.485,0.007
0.5,0.004472135954999579,0.0022360679774997894,1.2566370614359172,4000,3999,0.00025,0.0000010187234277303584,2.117506657773574e-8,6.938742978391942e-7,0.018504626156539136,0.9814953738434609,0.5096274068517129,0.47186796699174793,0.00575
1,0.0035355339059327372,0.0035355339059327372,0.6283185307179586,4000,4000,0,0.00000120555235158431,2.3220595484834446e-8,7.953059388868126e-7,0.027,0.973,0.50325,0.46975,0.00475
2,0.0022360679774997894,0.004472135954999579,0.3141592653589793,4000,4000,0,0.0000018033554204374098,3.188528812906164e-8,0.0000012126311884885609,0.0485,0.9515,0.51375,0.43775,0.00525
3,0.0015811388300841897,0.004743416490252569,0.20943951023931956,4000,3998,0.0005,0.000002594374110097532,4.8062631380086987e-8,0.000001668163872386273,0.0750375187593797,0.9249624812406203,0.5142571285642822,0.4107053526763382,0.007
