# EHR free-streaming geometric model  2026-07-19T05:53:21.254Z
# species=electron model=screw n=20000 Bwall_T=0.01
# Tseed_eV=3 R_m=0.1 L_m=0.4 Tmax_s=0.00005 seed=1 nexp=1
ratio,tauMean_s,tauSE_s,tauMedian_s,surviveFrac
0,0.0000013510114218062215,3.195503620974184e-8,3.8413918528371576e-7,0.00445
0.25,0.0000013579500446900468,3.107300489407349e-8,3.9162782185374394e-7,0.00395
0.5,0.0000013828943272924362,3.2150016712514293e-8,4.0875594711220304e-7,0.00435
0.75,0.0000013908141868232486,3.115316529333812e-8,4.1741117217474607e-7,0.00445
1,0.0000015764643987601558,3.493531980934573e-8,4.6025831841026677e-7,0.00575
1.5,0.0000017736966707689056,3.756632818532815e-8,5.247394653299196e-7,0.00615
2,0.000002022272008503595,4.036604605837137e-8,6.071029595988012e-7,0.00755
3,0.0000024108718068243876,4.259654154358535e-8,7.883716990144533e-7,0.00825
