# EHR Phase 1 pitch scan  2026-07-19T05:32:38.382Z
# species=electron model=screw n=4000 Bwall_T=0.01 p_mTorr=10
# Tseed_eV=1 Tgas_K=300 R_m=0.1 L_m=0.4 Tmax_s=0.00005 dt_s=1.1371260207131446e-10 seed=1 nocoll=false dtscale=1
ratio,Bz_T,BthWall_T,pitch_halfR_m,nTotal,nLost,surviveFrac,tauMean_s,tauSE_s,tauMedian_s,fracRadialLoss,fracEndLoss,fracEndLow,fracEndHigh,ionEventsPerParticle
0,0.01,0,Infinity,4000,4000,0,0.0000013636449069891947,3.363520775066989e-8,8.186170223114369e-7,0,1,0.515,0.485,0
0.5,0.008944271909999158,0.004472135954999579,1.2566370614359172,4000,3999,0.00025,0.0000013837042649213967,3.001779048119925e-8,8.677408664062476e-7,0.00025006251562890725,0.9997499374843711,0.49912478119529885,0.5006251562890722,0
1,0.0070710678118654745,0.0070710678118654745,0.6283185307179586,4000,4000,0,0.0000016144240642073499,3.470178469575005e-8,9.823631692941125e-7,0,1,0.50125,0.49875,0
2,0.004472135954999579,0.008944271909999158,0.3141592653589793,4000,3999,0.00025,0.0000022341082521625806,4.45918241639953e-8,0.0000013943439265981251,0,1,0.5208802200550138,0.4791197799449862,0
3,0.0031622776601683794,0.009486832980505138,0.20943951023931956,4000,3995,0.00125,0.000003171861058270004,6.474301882897415e-8,0.000001937207888886162,0.00025031289111389235,0.9997496871088861,0.5176470588235295,0.4821026282853567,0
