# EHR Phase 3C sustained discharge  2026-07-19T10:56:23.829Z
# model=screw nexp=1 mion_amu=1 HiStar=0.17618654458974403 Bwall_T=0.01 p_mTorr=10
# rate_per_us=200 Ttotal_s=0.00005 Tseed_eV=3 R_m=0.1 L_m=0.4 dt_s=1.1371260207131446e-10 grid=48x96 seed=1
ratio,NeSS,NiSS,tauEff_s,phiMax_V,GiOverGe,fracEndE,fracRadialE,capHits
0,1708.03001096187,3061.096378034414,0.00000854015005480935,4.44350709181105,1.0088031859149025,0.9966464053657514,0.003353594634248585,0
1,1670.2149663638886,2998.519324275766,0.000008351074831819444,4.41357155536031,1.001658031088083,0.9946113989637305,0.00538860103626943,0
3,1855.7333809409015,3091.8583144191803,0.000009278666904704507,3.892987199655648,0.9962886597938144,0.9760824742268042,0.023917525773195877,0
