r_m,z_m,phi_V,ne_m3,ni_m3
0.00104,0.00208,1.5830e-1,0.0000e+0,0.0000e+0
0.00313,0.00208,1.5819e-1,0.0000e+0,0.0000e+0
0.00521,0.00208,1.5794e-1,0.0000e+0,0.0000e+0
0.00729,0.00208,1.5757e-1,0.0000e+0,0.0000e+0
0.00937,0.00208,1.5710e-1,0.0000e+0,0.0000e+0
0.01146,0.00208,1.5649e-1,0.0000e+0,0.0000e+0
0.01354,0.00208,1.5568e-1,0.0000e+0,0.0000e+0
0.01563,0.00208,1.5478e-1,0.0000e+0,0.0000e+0
0.01771,0.00208,1.5372e-1,0.0000e+0,0.0000e+0
0.01979,0.00208,1.5259e-1,0.0000e+0,0.0000e+0
0.02187,0.00208,1.5133e-1,0.0000e+0,0.0000e+0
0.02396,0.00208,1.5001e-1,0.0000e+0,0.0000e+0
0.02604,0.00208,1.4848e-1,0.0000e+0,0.0000e+0
0.02813,0.00208,1.4686e-1,0.0000e+0,0.0000e+0
0.03021,0.00208,1.4519e-1,0.0000e+0,0.0000e+0
0.03229,0.00208,1.4342e-1,0.0000e+0,0.0000e+0
0.03438,0.00208,1.4148e-1,0.0000e+0,0.0000e+0
0.03646,0.00208,1.3942e-1,0.0000e+0,0.0000e+0
0.03854,0.00208,1.3723e-1,0.0000e+0,0.0000e+0
0.04063,0.00208,1.3487e-1,0.0000e+0,0.0000e+0
0.04271,0.00208,1.3234e-1,0.0000e+0,0.0000e+0
0.04479,0.00208,1.2967e-1,0.0000e+0,0.0000e+0
0.04688,0.00208,1.2684e-1,0.0000e+0,0.0000e+0
0.04896,0.00208,1.2381e-1,0.0000e+0,0.0000e+0
0.05104,0.00208,1.2057e-1,0.0000e+0,0.0000e+0
0.05312,0.00208,1.1714e-1,0.0000e+0,0.0000e+0
0.05521,0.00208,1.1349e-1,0.0000e+0,0.0000e+0
0.05729,0.00208,1.0964e-1,0.0000e+0,0.0000e+0
0.05937,0.00208,1.0554e-1,0.0000e+0,0.0000e+0
0.06146,0.00208,1.0119e-1,0.0000e+0,0.0000e+0
0.06354,0.00208,9.6581e-2,0.0000e+0,0.0000e+0
0.06563,0.00208,9.1670e-2,0.0000e+0,0.0000e+0
0.06771,0.00208,8.6457e-2,0.0000e+0,0.0000e+0
0.06979,0.00208,8.0890e-2,0.0000e+0,0.0000e+0
0.07187,0.00208,7.4953e-2,0.0000e+0,0.0000e+0
0.07396,0.00208,6.8676e-2,0.0000e+0,0.0000e+0
0.07604,0.00208,6.2383e-2,3.1254e+9,0.0000e+0
0.07813,0.00208,5.7149e-2,1.0244e+9,0.0000e+0
0.08021,0.00208,5.2407e-2,0.0000e+0,0.0000e+0
0.08229,0.00208,4.7509e-2,0.0000e+0,0.0000e+0
0.08438,0.00208,4.2339e-2,0.0000e+0,0.0000e+0
0.08646,0.00208,3.6926e-2,0.0000e+0,0.0000e+0
0.08854,0.00208,3.1342e-2,0.0000e+0,0.0000e+0
0.09062,0.00208,2.5648e-2,0.0000e+0,0.0000e+0
0.09271,0.00208,1.9905e-2,0.0000e+0,0.0000e+0
0.09479,0.00208,1.4157e-2,0.0000e+0,0.0000e+0
0.09688,0.00208,8.4378e-3,0.0000e+0,0.0000e+0
0.09896,0.00208,2.7805e-3,0.0000e+0,0.0000e+0
0.00104,0.00625,4.7634e-1,0.0000e+0,0.0000e+0
0.00313,0.00625,4.7592e-1,0.0000e+0,0.0000e+0
0.00521,0.00625,4.7515e-1,0.0000e+0,0.0000e+0
0.00729,0.00625,4.7400e-1,0.0000e+0,0.0000e+0
0.00937,0.00625,4.7240e-1,0.0000e+0,0.0000e+0
0.01146,0.00625,4.7040e-1,0.0000e+0,0.0000e+0
0.01354,0.00625,4.6799e-1,0.0000e+0,0.0000e+0
0.01563,0.00625,4.6527e-1,0.0000e+0,0.0000e+0
0.01771,0.00625,4.6213e-1,0.0000e+0,0.0000e+0
0.01979,0.00625,4.5868e-1,0.0000e+0,0.0000e+0
0.02187,0.00625,4.5491e-1,0.0000e+0,0.0000e+0
0.02396,0.00625,4.5079e-1,0.0000e+0,0.0000e+0
0.02604,0.00625,4.4635e-1,0.0000e+0,0.0000e+0
0.02813,0.00625,4.4161e-1,0.0000e+0,0.0000e+0
0.03021,0.00625,4.3658e-1,0.0000e+0,0.0000e+0
0.03229,0.00625,4.3121e-1,0.0000e+0,0.0000e+0
0.03438,0.00625,4.2548e-1,0.0000e+0,0.0000e+0
0.03646,0.00625,4.1933e-1,0.0000e+0,0.0000e+0
0.03854,0.00625,4.1273e-1,0.0000e+0,0.0000e+0
0.04063,0.00625,4.0569e-1,0.0000e+0,0.0000e+0
0.04271,0.00625,3.9821e-1,0.0000e+0,0.0000e+0
0.04479,0.00625,3.9023e-1,0.0000e+0,0.0000e+0
0.04688,0.00625,3.8174e-1,0.0000e+0,0.0000e+0
0.04896,0.00625,3.7271e-1,0.0000e+0,0.0000e+0
0.05104,0.00625,3.6308e-1,0.0000e+0,0.0000e+0
0.05312,0.00625,3.5282e-1,0.0000e+0,0.0000e+0
0.05521,0.00625,3.4195e-1,0.0000e+0,0.0000e+0
0.05729,0.00625,3.3042e-1,0.0000e+0,0.0000e+0
0.05937,0.00625,3.1818e-1,0.0000e+0,0.0000e+0
0.06146,0.00625,3.0523e-1,0.0000e+0,0.0000e+0
0.06354,0.00625,2.9148e-1,0.0000e+0,0.0000e+0
0.06563,0.00625,2.7692e-1,0.0000e+0,0.0000e+0
0.06771,0.00625,2.6143e-1,0.0000e+0,0.0000e+0
0.06979,0.00625,2.4485e-1,0.0000e+0,0.0000e+0
0.07187,0.00625,2.2686e-1,0.0000e+0,0.0000e+0
0.07396,0.00625,2.0685e-1,0.0000e+0,0.0000e+0
0.07604,0.00625,1.8354e-1,2.1719e+11,0.0000e+0
0.07813,0.00625,1.7002e-1,7.1189e+10,0.0000e+0
0.08021,0.00625,1.5837e-1,0.0000e+0,0.0000e+0
0.08229,0.00625,1.4414e-1,0.0000e+0,0.0000e+0
0.08438,0.00625,1.2848e-1,0.0000e+0,0.0000e+0
0.08646,0.00625,1.1198e-1,0.0000e+0,0.0000e+0
0.08854,0.00625,9.4989e-2,0.0000e+0,0.0000e+0
0.09062,0.00625,7.7701e-2,0.0000e+0,0.0000e+0
0.09271,0.00625,6.0281e-2,0.0000e+0,0.0000e+0
0.09479,0.00625,4.2855e-2,0.0000e+0,0.0000e+0
0.09688,0.00625,2.5532e-2,0.0000e+0,0.0000e+0
0.09896,0.00625,8.4107e-3,0.0000e+0,0.0000e+0
0.00104,0.01042,7.9780e-1,0.0000e+0,0.0000e+0
0.00313,0.01042,7.9712e-1,0.0000e+0,0.0000e+0
0.00521,0.01042,7.9575e-1,0.0000e+0,0.0000e+0
0.00729,0.01042,7.9370e-1,0.0000e+0,0.0000e+0
0.00937,0.01042,7.9093e-1,0.0000e+0,0.0000e+0
0.01146,0.01042,7.8754e-1,0.0000e+0,0.0000e+0
0.01354,0.01042,7.8342e-1,0.0000e+0,0.0000e+0
0.01563,0.01042,7.7872e-1,0.0000e+0,0.0000e+0
0.01771,0.01042,7.7342e-1,0.0000e+0,0.0000e+0
0.01979,0.01042,7.6758e-1,0.0000e+0,0.0000e+0
0.02187,0.01042,7.6121e-1,0.0000e+0,0.0000e+0
0.02396,0.01042,7.5438e-1,0.0000e+0,0.0000e+0
0.02604,0.01042,7.4702e-1,0.0000e+0,0.0000e+0
0.02813,0.01042,7.3917e-1,0.0000e+0,0.0000e+0
0.03021,0.01042,7.3083e-1,0.0000e+0,0.0000e+0
0.03229,0.01042,7.2197e-1,0.0000e+0,0.0000e+0
0.03438,0.01042,7.1245e-1,0.0000e+0,0.0000e+0
