# EHR Phase 3 ambipolar study  2026-07-19T08:57:51.878Z
# feedback=true n0_m3=300000000000 model=screw nexp=1 n=2000 Bwall_T=0.01 p_mTorr=10
# Tseed_eV=3 R_m=0.1 L_m=0.4 Tmax_s=0.00002 dt_s=1.1371260207131446e-10 grid=48x96 fieldevery=5 seed=1
ratio,surviveFrac,tauMean_s,tauLeak_s,phiMax_V,fracRadialLoss,fracEndLoss
0,0.223,0.0000069209533513891195,0.000027557342803753578,11.47677282137695,0.002574002574002574,0.9974259974259975
1,0.232,0.0000070710271510516,0.00003201946682989617,11.540966031328116,0.007161458333333333,0.9928385416666666
3,0.242,0.000008070991781532631,0.000028777314319941368,10.589210379738207,0.036279683377308705,0.9637203166226913
