# EHR Phase 3 ambipolar study  2026-07-19T09:56:42.193Z
# feedback=true ions=mobile mion_amu=1 Hi=1.9822799403736568 HiStar=0.2936442409829067 n0_m3=300000000000 model=screw nexp=1 n=1000 Bwall_T=0.005 p_mTorr=3
# Tseed_eV=3 R_m=0.1 L_m=0.4 Tmax_s=0.000025 dt_s=2.2742520414262892e-10 grid=48x96 fieldevery=3 seed=1
ratio,surviveFrac,tauMean_s,tauLeak_s,phiMax_V,fracRadialLoss,fracEndLoss,surviveFracIon,GiOverGe,Hi
0,0.012,0.0000036464231495842566,Infinity,5.980485341612808,0.0010121457489878543,0.9989878542510121,0.129,3.016949152542373,1.9822799403736568
3,0.003,0.0000041912686094420605,Infinity,5.4942734561797275,0.01905717151454363,0.9809428284854563,0.113,2.955223880597015,1.9822799403736568
