# EHR Phase 1 pitch scan  2026-07-19T05:31:15.185Z
# species=electron model=beltrami n=4000 Bwall_T=0.01 p_mTorr=10
# Tseed_eV=3 Tgas_K=300 R_m=0.1 L_m=0.4 Tmax_s=0.00005 dt_s=7.580840138087632e-11 seed=1 nocoll=true dtscale=1
ratio,Bz_T,BthWall_T,pitch_halfR_m,nTotal,nLost,surviveFrac,tauMean_s,tauSE_s,tauMedian_s,fracRadialLoss,fracEndLoss,fracEndLow,fracEndHigh,ionEventsPerParticle
0.25,0.01029854586076957,0.002425356250363327,2.5711403535488095,4000,3978,0.0055,0.0000013724746827481656,7.444609218836474e-8,3.9374883677229023e-7,0,1,0.5140774258421317,0.48592257415786827,0
0.5,0.011054487043840626,0.004472135954999582,1.3668663709190187,4000,3984,0.004,0.0000013260232170073806,6.844127520350934e-8,4.0830404983741933e-7,0,1,0.5027610441767069,0.4972389558232932,0
1,0.012904669458292484,0.007071067811865475,0.8183024351862567,4000,3983,0.00425,0.0000015447240776861448,7.608615062153528e-8,4.5151483862452133e-7,0,1,0.5023851368315341,0.497614863168466,0
1.5,0.014373260746191063,0.008320502943378437,0.6604773112049531,4000,3983,0.00425,0.0000014702485017134508,6.969050080872047e-8,4.6394741645098577e-7,0,1,0.5146874215415516,0.4853125784584484,0
2,0.015381956582722612,0.00894427190999916,0.589862957695091,4000,3970,0.0075,0.0000017071834633350375,8.431611980617046e-8,5.081437144560392e-7,0,1,0.5118387909319899,0.4881612090680101,0
3,0.016575262144731973,0.009486832980505138,0.5261058004331456,4000,3974,0.0065,0.0000017930666493365587,8.460423996788157e-8,5.283087492233534e-7,0,1,0.5052843482637142,0.49471565173628584,0
