# EHR Phase 1 pitch scan  2026-07-19T05:35:08.719Z
# species=electron model=screw n=4000 Bwall_T=0.01 p_mTorr=10
# Tseed_eV=3 Tgas_K=300 R_m=0.1 L_m=0.4 Tmax_s=0.00005 dt_s=1.1371260207131446e-10 seed=2 nocoll=false dtscale=1
ratio,Bz_T,BthWall_T,pitch_halfR_m,nTotal,nLost,surviveFrac,tauMean_s,tauSE_s,tauMedian_s,fracRadialLoss,fracEndLoss,fracEndLow,fracEndHigh,ionEventsPerParticle
0,0.01,0,Infinity,4000,4000,0,0.0000010070578508043707,2.0387359141532245e-8,6.730648916601459e-7,0.004,0.996,0.51125,0.48475,0.00775
0.5,0.008944271909999158,0.004472135954999579,1.2566370614359172,4000,4000,0,0.000001044428474061647,1.8648464942804962e-8,7.069512470773996e-7,0.00375,0.99625,0.495,0.50125,0.005
1,0.0070710678118654745,0.0070710678118654745,0.6283185307179586,4000,4000,0,0.000001266314424647732,2.3013532979168644e-8,8.513662517079773e-7,0.007,0.993,0.518,0.475,0.005
2,0.004472135954999579,0.008944271909999158,0.3141592653589793,4000,4000,0,0.0000018653097132772412,3.254749743723849e-8,0.000001270624615544643,0.015,0.985,0.52525,0.45975,0.00625
3,0.0031622776601683794,0.009486832980505138,0.20943951023931956,4000,4000,0,0.0000027784292139448508,5.065854907180188e-8,0.000001766866410983426,0.02625,0.97375,0.518,0.45575,0.0095
