r_m,z_m,phi_V,ne_m3,ni_m3
0.00104,0.00208,1.7880e-1,0.0000e+0,0.0000e+0
0.00313,0.00208,1.7871e-1,0.0000e+0,0.0000e+0
0.00521,0.00208,1.7838e-1,0.0000e+0,0.0000e+0
0.00729,0.00208,1.7781e-1,0.0000e+0,0.0000e+0
0.00937,0.00208,1.7700e-1,0.0000e+0,0.0000e+0
0.01146,0.00208,1.7597e-1,0.0000e+0,0.0000e+0
0.01354,0.00208,1.7481e-1,0.0000e+0,0.0000e+0
0.01563,0.00208,1.7347e-1,0.0000e+0,0.0000e+0
0.01771,0.00208,1.7198e-1,0.0000e+0,0.0000e+0
0.01979,0.00208,1.7013e-1,0.0000e+0,0.0000e+0
0.02187,0.00208,1.6806e-1,0.0000e+0,0.0000e+0
0.02396,0.00208,1.6553e-1,0.0000e+0,0.0000e+0
0.02604,0.00208,1.6241e-1,0.0000e+0,0.0000e+0
0.02813,0.00208,1.5830e-1,0.0000e+0,0.0000e+0
0.03021,0.00208,1.5223e-1,0.0000e+0,0.0000e+0
0.03229,0.00208,1.4216e-1,5.1795e+10,0.0000e+0
0.03438,0.00208,1.2524e-1,6.0283e+11,0.0000e+0
0.03646,0.00208,1.3803e-1,0.0000e+0,0.0000e+0
0.03854,0.00208,1.4185e-1,0.0000e+0,0.0000e+0
0.04063,0.00208,1.4171e-1,0.0000e+0,0.0000e+0
0.04271,0.00208,1.3973e-1,0.0000e+0,0.0000e+0
0.04479,0.00208,1.3687e-1,0.0000e+0,0.0000e+0
0.04688,0.00208,1.3349e-1,0.0000e+0,0.0000e+0
0.04896,0.00208,1.2973e-1,0.0000e+0,0.0000e+0
0.05104,0.00208,1.2571e-1,0.0000e+0,0.0000e+0
0.05312,0.00208,1.2145e-1,0.0000e+0,0.0000e+0
0.05521,0.00208,1.1691e-1,0.0000e+0,0.0000e+0
0.05729,0.00208,1.1204e-1,0.0000e+0,0.0000e+0
0.05937,0.00208,1.0672e-1,0.0000e+0,0.0000e+0
0.06146,0.00208,1.0065e-1,0.0000e+0,0.0000e+0
0.06354,0.00208,9.3174e-2,0.0000e+0,0.0000e+0
0.06563,0.00208,8.2716e-2,1.1571e+11,0.0000e+0
0.06771,0.00208,7.5670e-2,2.1860e+11,0.0000e+0
0.06979,0.00208,7.6622e-2,0.0000e+0,0.0000e+0
0.07187,0.00208,7.3926e-2,0.0000e+0,0.0000e+0
0.07396,0.00208,6.9592e-2,0.0000e+0,0.0000e+0
0.07604,0.00208,6.4452e-2,0.0000e+0,0.0000e+0
0.07813,0.00208,5.8904e-2,0.0000e+0,0.0000e+0
0.08021,0.00208,5.3133e-2,0.0000e+0,0.0000e+0
0.08229,0.00208,4.7237e-2,0.0000e+0,0.0000e+0
0.08438,0.00208,4.1301e-2,0.0000e+0,0.0000e+0
0.08646,0.00208,3.5389e-2,0.0000e+0,0.0000e+0
0.08854,0.00208,2.9563e-2,0.0000e+0,0.0000e+0
0.09062,0.00208,2.3869e-2,0.0000e+0,0.0000e+0
