# EHR Phase 3 ambipolar study  2026-07-19T09:47:01.610Z
# feedback=true ions=mobile mion_amu=1 Hi=4.757471856896777 n0_m3=300000000000 model=screw nexp=1 n=1000 Bwall_T=0.04 p_mTorr=10
# Tseed_eV=3 R_m=0.1 L_m=0.4 Tmax_s=0.000025 dt_s=2.8428150517828616e-11 grid=48x96 fieldevery=20 seed=1
ratio,surviveFrac,tauMean_s,tauLeak_s,phiMax_V,fracRadialLoss,fracEndLoss,surviveFracIon,GiOverGe,Hi
0,0.107,0.00000684199824604702,0.000015316409256038486,7.2071675022968575,0,1,0.688,1.7333333333333334,4.757471856896777
3,0.088,0.00000763354001061451,0.00001220782945908591,6.704839729834385,0.0010964912280701754,0.9989035087719298,0.668,1.6751592356687899,4.757471856896777
