r_m,z_m,phi_V,ne_m3,ni_m3
0.00104,0.00208,1.6004e-1,9.4217e+9,0.0000e+0
0.00313,0.00208,1.6150e-1,2.0666e+10,0.0000e+0
0.00521,0.00208,1.6549e-1,1.0131e+10,5.4044e+9
0.00729,0.00208,1.7219e-1,7.6248e+9,2.0833e+11
0.00937,0.00208,1.7045e-1,1.1640e+10,1.2098e+11
0.01146,0.00208,1.6755e-1,1.7371e+10,9.2391e+10
0.01354,0.00208,1.6476e-1,1.6231e+10,7.7232e+10
0.01563,0.00208,1.6262e-1,1.2321e+10,1.7419e+10
0.01771,0.00208,1.6449e-1,1.2507e+10,4.7843e+10
0.01979,0.00208,1.6874e-1,1.6056e+10,2.3667e+11
0.02187,0.00208,1.6412e-1,1.6819e+10,7.7506e+10
0.02396,0.00208,1.6135e-1,1.3345e+10,7.3645e+10
0.02604,0.00208,1.5984e-1,1.7893e+10,6.6396e+10
0.02813,0.00208,1.5989e-1,2.2244e+10,1.0650e+11
0.03021,0.00208,1.5895e-1,1.7776e+10,6.2098e+10
0.03229,0.00208,1.5977e-1,1.8180e+10,1.3901e+11
0.03438,0.00208,1.5733e-1,1.7755e+10,1.1198e+11
0.03646,0.00208,1.5312e-1,2.3444e+10,8.3837e+10
0.03854,0.00208,1.4910e-1,2.1256e+10,5.4183e+10
0.04063,0.00208,1.4666e-1,2.3173e+10,7.8534e+10
0.04271,0.00208,1.4431e-1,2.3349e+10,1.0838e+11
0.04479,0.00208,1.4017e-1,1.9830e+10,8.3566e+10
0.04688,0.00208,1.3550e-1,1.7955e+10,5.0542e+10
0.04896,0.00208,1.3208e-1,1.2544e+10,3.4913e+10
0.05104,0.00208,1.3051e-1,1.5732e+10,1.2116e+11
0.05312,0.00208,1.2564e-1,1.7642e+10,6.3215e+10
0.05521,0.00208,1.2172e-1,2.0477e+10,5.8897e+10
0.05729,0.00208,1.1884e-1,2.3590e+10,8.4619e+10
0.05937,0.00208,1.1560e-1,2.4484e+10,7.8521e+10
0.06146,0.00208,1.1264e-1,2.3085e+10,8.2184e+10
0.06354,0.00208,1.0973e-1,1.8877e+10,9.8195e+10
0.06563,0.00208,1.0549e-1,2.2819e+10,1.1163e+11
0.06771,0.00208,9.9267e-2,2.2181e+10,6.3327e+10
0.06979,0.00208,9.3792e-2,2.1476e+10,4.2239e+10
0.07187,0.00208,8.9786e-2,2.6065e+10,6.8714e+10
0.07396,0.00208,8.5629e-2,2.3916e+10,9.6187e+10
0.07604,0.00208,7.9564e-2,2.3611e+10,6.0827e+10
0.07813,0.00208,7.3994e-2,2.2250e+10,7.0740e+10
0.08021,0.00208,6.8052e-2,1.8171e+10,5.7153e+10
0.08229,0.00208,6.2073e-2,2.4604e+10,5.3396e+10
0.08438,0.00208,5.6396e-2,2.1554e+10,4.2674e+10
0.08646,0.00208,5.1044e-2,1.9053e+10,3.9804e+10
0.08854,0.00208,4.5819e-2,1.4974e+10,5.5631e+10
0.09062,0.00208,3.9551e-2,6.5281e+9,4.7499e+10
0.09271,0.00208,3.1930e-2,3.8027e+9,2.6706e+10
0.09479,0.00208,2.3570e-2,6.3713e+8,1.7428e+10
0.09688,0.00208,1.4533e-2,1.2212e+8,1.0919e+10
0.09896,0.00208,4.9135e-3,1.8622e+6,4.9154e+9
0.00104,0.00625,4.7140e-1,8.3855e+9,0.0000e+0
0.00313,0.00625,4.7361e-1,1.5106e+10,0.0000e+0
0.00521,0.00625,4.7856e-1,1.2114e+10,2.7518e+10
