# EHR free-streaming geometric model  2026-07-19T05:53:21.641Z
# species=electron model=powerlaw n=20000 Bwall_T=0.01
# Tseed_eV=3 R_m=0.1 L_m=0.4 Tmax_s=0.00005 seed=1 nexp=4
ratio,tauMean_s,tauSE_s,tauMedian_s,surviveFrac
0,0.0000013510114218062215,3.195503620974184e-8,3.8413918528371576e-7,0.00445
0.5,0.000001445647451867562,3.442184779233906e-8,3.9182190496343703e-7,0.0055
1,0.0000013830974087850963,3.2189097416138935e-8,4.052879792435533e-7,0.0049
2,0.0000015021355989116827,3.385850506345253e-8,4.3334374797367176e-7,0.00485
3,0.0000016053279964772387,3.4177254247155814e-8,4.940635981793062e-7,0.0054
