r_m,z_m,phi_V,ne_m3,ni_m3
0.00104,0.00208,1.5453e-1,6.6873e+9,0.0000e+0
0.00313,0.00208,1.5451e-1,2.8006e+9,0.0000e+0
0.00521,0.00208,1.5425e-1,1.5638e+10,0.0000e+0
0.00729,0.00208,1.5446e-1,1.6038e+10,0.0000e+0
0.00937,0.00208,1.5503e-1,1.3252e+10,0.0000e+0
0.01146,0.00208,1.5584e-1,1.4795e+10,0.0000e+0
0.01354,0.00208,1.5710e-1,9.6407e+9,2.6895e+9
0.01563,0.00208,1.5857e-1,1.0064e+10,2.3945e+10
0.01771,0.00208,1.5916e-1,1.5457e+10,1.8796e+10
0.01979,0.00208,1.5952e-1,1.5700e+10,3.3989e+10
0.02187,0.00208,1.5852e-1,1.3773e+10,1.7371e+9
0.02396,0.00208,1.5809e-1,1.3221e+10,4.5782e+9
0.02604,0.00208,1.5788e-1,1.8948e+10,1.0027e+10
0.02813,0.00208,1.5800e-1,2.6567e+10,1.5684e+10
0.03021,0.00208,1.5878e-1,2.6356e+10,2.7407e+10
0.03229,0.00208,1.5994e-1,3.1074e+10,4.6727e+10
0.03438,0.00208,1.6129e-1,1.9990e+10,9.2939e+10
0.03646,0.00208,1.5970e-1,2.4768e+10,4.8449e+10
0.03854,0.00208,1.5847e-1,2.1546e+10,2.8987e+10
0.04063,0.00208,1.5819e-1,2.1772e+10,4.6107e+10
0.04271,0.00208,1.5786e-1,2.5934e+10,6.0949e+10
0.04479,0.00208,1.5675e-1,2.0669e+10,4.6527e+10
0.04688,0.00208,1.5537e-1,2.2384e+10,2.4824e+10
0.04896,0.00208,1.5518e-1,2.1605e+10,4.6202e+10
0.05104,0.00208,1.5492e-1,2.6375e+10,6.1674e+10
0.05312,0.00208,1.5446e-1,2.3049e+10,6.6895e+10
0.05521,0.00208,1.5380e-1,2.9850e+10,7.7479e+10
0.05729,0.00208,1.5320e-1,2.1703e+10,7.7270e+10
0.05937,0.00208,1.5238e-1,2.4234e+10,9.2123e+10
0.06146,0.00208,1.5061e-1,1.7329e+10,8.3597e+10
0.06354,0.00208,1.4787e-1,2.0271e+10,1.0334e+11
0.06563,0.00208,1.4290e-1,3.0999e+10,5.5337e+10
0.06771,0.00208,1.3927e-1,3.7245e+10,6.6887e+10
0.06979,0.00208,1.3636e-1,3.0579e+10,1.0876e+11
0.07187,0.00208,1.3150e-1,2.5765e+10,1.1916e+11
0.07396,0.00208,1.2390e-1,2.1422e+10,8.6886e+10
0.07604,0.00208,1.1506e-1,2.5892e+10,6.2131e+10
0.07813,0.00208,1.0663e-1,2.6699e+10,5.7109e+10
0.08021,0.00208,9.8839e-2,3.4788e+10,9.0855e+10
0.08229,0.00208,8.9918e-2,2.9375e+10,7.9347e+10
0.08438,0.00208,8.0026e-2,2.4666e+10,6.6162e+10
0.08646,0.00208,6.9477e-2,2.5310e+10,3.9534e+10
0.08854,0.00208,5.9917e-2,2.8349e+10,6.5236e+10
0.09062,0.00208,5.0162e-2,1.4678e+10,7.8422e+10
0.09271,0.00208,3.8564e-2,1.4315e+9,3.7202e+10
0.09479,0.00208,2.6520e-2,6.6149e+7,2.3513e+9
0.09688,0.00208,1.5485e-2,6.6169e+7,0.0000e+0
0.09896,0.00208,5.0568e-3,0.0000e+0,0.0000e+0
0.00104,0.00625,4.6580e-1,6.1208e+9,0.0000e+0
0.00313,0.00625,4.6577e-1,7.2918e+9,0.0000e+0
0.00521,0.00625,4.6579e-1,1.8211e+10,0.0000e+0
0.00729,0.00625,4.6653e-1,1.7583e+10,0.0000e+0
0.00937,0.00625,4.6774e-1,2.0780e+10,0.0000e+0
0.01146,0.00625,4.6956e-1,1.8214e+10,0.0000e+0
0.01354,0.00625,4.7185e-1,1.1534e+10,0.0000e+0
0.01563,0.00625,4.7428e-1,1.5197e+10,2.1887e+9
0.01771,0.00625,4.7711e-1,2.2573e+10,4.0430e+10
0.01979,0.00625,4.7839e-1,2.3979e+10,5.1048e+10
0.02187,0.00625,4.7735e-1,1.4548e+10,1.3449e+10
0.02396,0.00625,4.7618e-1,1.6472e+10,1.4559e+10
0.02604,0.00625,4.7520e-1,2.4502e+10,2.1029e+10
0.02813,0.00625,4.7458e-1,3.2223e+10,3.5652e+10
0.03021,0.00625,4.7425e-1,3.4020e+10,4.4023e+10
0.03229,0.00625,4.7385e-1,3.3667e+10,5.7964e+10
0.03438,0.00625,4.7278e-1,3.1578e+10,6.2124e+10
0.03646,0.00625,4.7047e-1,3.4183e+10,3.4633e+10
0.03854,0.00625,4.6948e-1,3.1811e+10,7.2688e+10
0.04063,0.00625,4.6720e-1,3.6983e+10,4.6991e+10
0.04271,0.00625,4.6581e-1,3.3242e+10,6.9418e+10
0.04479,0.00625,4.6339e-1,3.4701e+10,6.1016e+10
0.04688,0.00625,4.6077e-1,3.7858e+10,6.8678e+10
0.04896,0.00625,4.5814e-1,3.3018e+10,8.0505e+10
0.05104,0.00625,4.5455e-1,3.2592e+10,7.2336e+10
0.05312,0.00625,4.5043e-1,3.2043e+10,5.7424e+10
0.05521,0.00625,4.4633e-1,4.6098e+10,5.2004e+10
0.05729,0.00625,4.4318e-1,3.3418e+10,5.6058e+10
0.05937,0.00625,4.3975e-1,3.4520e+10,7.3990e+10
0.06146,0.00625,4.3516e-1,2.1922e+10,1.0347e+11
0.06354,0.00625,4.2697e-1,3.1974e+10,9.9972e+10
0.06563,0.00625,4.1627e-1,4.1785e+10,7.2537e+10
0.06771,0.00625,4.0600e-1,4.4082e+10,1.2528e+11
0.06979,0.00625,3.9279e-1,4.7273e+10,1.2546e+11
0.07187,0.00625,3.7684e-1,3.4716e+10,1.3071e+11
0.07396,0.00625,3.5698e-1,2.6378e+10,1.2160e+11
0.07604,0.00625,3.3313e-1,3.4157e+10,7.4403e+10
0.07813,0.00625,3.0860e-1,3.8141e+10,5.3191e+10
0.08021,0.00625,2.8431e-1,5.2916e+10,8.5730e+10
0.08229,0.00625,2.5889e-1,3.9690e+10,1.0144e+11
0.08438,0.00625,2.3068e-1,3.2832e+10,7.7252e+10
0.08646,0.00625,2.0097e-1,3.2959e+10,7.4065e+10
0.08854,0.00625,1.6985e-1,4.4150e+10,5.5626e+10
0.09062,0.00625,1.3882e-1,1.9716e+10,2.9786e+10
0.09271,0.00625,1.0730e-1,2.1094e+9,6.9394e+9
0.09479,0.00625,7.5821e-2,1.2896e+8,0.0000e+0
0.09688,0.00625,4.4969e-2,6.8979e+7,0.0000e+0
0.09896,0.00625,1.4778e-2,0.0000e+0,0.0000e+0
0.00104,0.01042,7.7921e-1,5.2977e+9,0.0000e+0
0.00313,0.01042,7.7917e-1,1.4978e+10,0.0000e+0
0.00521,0.01042,7.7955e-1,2.9172e+10,0.0000e+0
