# EHR Phase 3 ambipolar study  2026-07-19T09:40:40.260Z
# feedback=true ions=mobile mion_amu=1 Hi=2.3787359284483887 n0_m3=300000000000 model=screw nexp=1 n=1000 Bwall_T=0.02 p_mTorr=10
# Tseed_eV=3 R_m=0.1 L_m=0.4 Tmax_s=0.000025 dt_s=5.685630103565723e-11 grid=48x96 fieldevery=10 seed=1
ratio,surviveFrac,tauMean_s,tauLeak_s,phiMax_V,fracRadialLoss,fracEndLoss,surviveFracIon,GiOverGe,Hi
0,0.024,0.000004918776994506223,0.000007057645111026592,6.571754685590539,0,1,0.386,2.247863247863248,2.3787359284483887
3,0.033,0.000006113243505892686,0.000007979768176796114,6.177525725275656,0.009307135470527405,0.9906928645294726,0.365,2.392,2.3787359284483887
