# EHR Phase 1 pitch scan  2026-07-19T05:52:16.148Z
# species=electron model=powerlaw n=4000 Bwall_T=0.01 p_mTorr=10
# Tseed_eV=3 Tgas_K=300 R_m=0.1 L_m=0.4 Tmax_s=0.00005 dt_s=1.1371260207131446e-10 seed=1 nocoll=false dtscale=1 nexp=2
ratio,Bz_T,BthWall_T,pitch_halfR_m,nTotal,nLost,surviveFrac,tauMean_s,tauSE_s,tauMedian_s,fracRadialLoss,fracEndLoss,fracEndLow,fracEndHigh,ionEventsPerParticle
0,0.01,0,Infinity,4000,4000,0,0.0000010028663190076026,2.1860914866004605e-8,6.620347692592278e-7,0.004,0.996,0.5085,0.4875,0.00825
0.5,0.008944271909999158,0.004472135954999579,2.5132741228718345,4000,4000,0,0.0000010331431237254002,1.8220095451984196e-8,7.171853812638185e-7,0.005,0.995,0.49925,0.49575,0.006
1,0.0070710678118654745,0.0070710678118654745,1.2566370614359172,4000,4000,0,0.0000011396418836057353,2.020297940037445e-8,7.628978472964895e-7,0.00775,0.99225,0.508,0.48425,0.00525
2,0.004472135954999579,0.008944271909999158,0.6283185307179586,4000,4000,0,0.0000014913630069788165,2.6898402458182173e-8,9.480219634686002e-7,0.01325,0.98675,0.499,0.48775,0.00725
3,0.0031622776601683794,0.009486832980505138,0.4188790204786391,4000,3998,0.0005,0.0000019634334833118125,3.919152416212047e-8,0.0000012096746608344717,0.021010505252626314,0.9789894947473737,0.5097548774387194,0.46923461730865434,0.0095
