r_m,z_m,phi_V,ne_m3,ni_m3
0.00104,0.00208,4.0979e-1,1.0431e+10,1.7541e+10
0.00313,0.00208,4.1807e-1,9.3894e+9,3.8504e+11
0.00521,0.00208,4.1646e-1,1.4754e+10,3.4526e+11
0.00729,0.00208,4.1266e-1,1.9887e+10,3.3428e+11
0.00937,0.00208,4.0632e-1,2.0307e+10,3.2843e+11
0.01146,0.00208,3.9741e-1,2.2191e+10,2.2873e+11
0.01354,0.00208,3.9110e-1,2.0814e+10,2.0328e+11
0.01563,0.00208,3.8682e-1,2.0720e+10,2.4241e+11
0.01771,0.00208,3.8093e-1,1.9931e+10,1.4289e+11
0.01979,0.00208,3.7971e-1,1.5389e+10,2.3130e+11
0.02187,0.00208,3.7652e-1,1.3209e+10,2.0865e+11
0.02396,0.00208,3.7271e-1,1.9310e+10,2.0408e+11
0.02604,0.00208,3.6887e-1,1.1961e+10,2.1885e+11
0.02813,0.00208,3.6401e-1,1.8770e+10,1.6886e+11
0.03021,0.00208,3.6202e-1,2.1421e+10,2.1452e+11
0.03229,0.00208,3.6016e-1,2.1652e+10,2.2636e+11
0.03438,0.00208,3.5791e-1,2.1872e+10,2.6806e+11
0.03646,0.00208,3.5264e-1,2.0117e+10,2.4614e+11
0.03854,0.00208,3.4542e-1,1.9418e+10,1.6877e+11
0.04063,0.00208,3.4100e-1,2.0893e+10,1.9322e+11
0.04271,0.00208,3.3771e-1,1.5556e+10,2.5366e+11
0.04479,0.00208,3.3134e-1,2.0158e+10,2.1301e+11
0.04688,0.00208,3.2556e-1,2.0993e+10,2.5743e+11
0.04896,0.00208,3.1752e-1,2.0654e+10,1.6339e+11
0.05104,0.00208,3.1340e-1,1.9255e+10,2.2406e+11
0.05312,0.00208,3.0885e-1,1.4977e+10,2.4928e+11
0.05521,0.00208,3.0217e-1,1.5574e+10,2.1923e+11
0.05729,0.00208,2.9511e-1,1.8990e+10,1.8972e+11
0.05937,0.00208,2.8934e-1,1.5775e+10,2.1353e+11
0.06146,0.00208,2.8280e-1,1.9643e+10,2.4526e+11
0.06354,0.00208,2.7350e-1,2.0969e+10,2.0457e+11
0.06563,0.00208,2.6409e-1,1.9960e+10,2.2012e+11
0.06771,0.00208,2.5307e-1,1.4864e+10,1.7627e+11
0.06979,0.00208,2.4280e-1,2.1396e+10,1.7233e+11
0.07187,0.00208,2.3355e-1,2.3192e+10,2.1992e+11
0.07396,0.00208,2.2224e-1,1.8686e+10,1.6789e+11
0.07604,0.00208,2.1211e-1,1.8398e+10,2.2126e+11
0.07813,0.00208,1.9896e-1,1.4741e+10,1.6115e+11
0.08021,0.00208,1.8639e-1,1.7358e+10,1.6372e+11
0.08229,0.00208,1.7412e-1,2.0899e+10,1.7978e+11
0.08438,0.00208,1.6164e-1,1.7791e+10,2.5459e+11
0.08646,0.00208,1.4347e-1,1.9172e+10,1.7522e+11
0.08854,0.00208,1.2452e-1,1.9432e+10,1.9276e+11
0.09062,0.00208,1.0259e-1,4.6956e+9,1.1687e+11
0.09271,0.00208,8.0182e-2,5.9775e+5,8.2374e+10
0.09479,0.00208,5.7583e-2,0.0000e+0,8.1890e+10
0.09688,0.00208,3.3211e-2,0.0000e+0,4.6225e+9
0.09896,0.00208,1.0758e-2,0.0000e+0,0.0000e+0
0.00104,0.00625,1.1609e+0,2.7058e+10,1.0783e+11
0.00313,0.00625,1.1669e+0,1.5022e+10,4.4134e+11
0.00521,0.00625,1.1586e+0,2.7833e+10,2.2574e+11
0.00729,0.00625,1.1552e+0,2.4576e+10,4.6459e+11
0.00937,0.00625,1.1393e+0,3.1362e+10,3.2448e+11
0.01146,0.00625,1.1225e+0,4.7778e+10,2.3296e+11
0.01354,0.00625,1.1111e+0,4.2725e+10,2.7389e+11
0.01563,0.00625,1.1000e+0,3.6589e+10,2.8328e+11
0.01771,0.00625,1.0871e+0,2.8450e+10,1.6482e+11
0.01979,0.00625,1.0802e+0,2.4846e+10,2.4090e+11
0.02187,0.00625,1.0719e+0,2.5879e+10,2.5172e+11
0.02396,0.00625,1.0615e+0,3.0526e+10,2.8508e+11
0.02604,0.00625,1.0470e+0,2.0972e+10,1.8593e+11
0.02813,0.00625,1.0345e+0,3.1652e+10,1.7144e+11
0.03021,0.00625,1.0254e+0,3.5566e+10,1.9024e+11
0.03229,0.00625,1.0183e+0,4.1808e+10,2.5113e+11
0.03438,0.00625,1.0094e+0,3.7309e+10,2.8630e+11
0.03646,0.00625,9.9608e-1,3.4706e+10,2.7338e+11
0.03854,0.00625,9.7943e-1,3.2919e+10,2.0287e+11
0.04063,0.00625,9.6508e-1,3.8259e+10,2.2612e+11
0.04271,0.00625,9.5166e-1,3.2869e+10,3.1599e+11
0.04479,0.00625,9.3218e-1,3.5890e+10,2.4001e+11
0.04688,0.00625,9.1262e-1,3.0761e+10,2.2378e+11
0.04896,0.00625,8.9314e-1,3.0670e+10,1.5993e+11
0.05104,0.00625,8.7824e-1,3.3498e+10,2.3062e+11
0.05312,0.00625,8.6234e-1,3.0723e+10,2.2947e+11
0.05521,0.00625,8.4508e-1,2.8802e+10,2.1562e+11
0.05729,0.00625,8.2751e-1,2.9126e+10,2.2216e+11
0.05937,0.00625,8.0979e-1,2.7286e+10,2.4786e+11
0.06146,0.00625,7.8967e-1,3.4330e+10,2.8193e+11
0.06354,0.00625,7.6445e-1,3.6955e+10,2.3674e+11
0.06563,0.00625,7.3712e-1,3.4766e+10,2.4423e+11
0.06771,0.00625,7.0684e-1,3.0511e+10,1.7867e+11
0.06979,0.00625,6.7803e-1,3.9704e+10,2.1565e+11
0.07187,0.00625,6.4826e-1,3.5507e+10,2.2132e+11
0.07396,0.00625,6.1639e-1,3.0923e+10,1.6739e+11
0.07604,0.00625,5.8591e-1,3.3879e+10,2.5909e+11
0.07813,0.00625,5.4993e-1,3.6000e+10,1.9109e+11
0.08021,0.00625,5.1325e-1,3.4370e+10,1.9725e+11
0.08229,0.00625,4.7458e-1,3.6043e+10,1.8303e+11
0.08438,0.00625,4.3482e-1,3.1229e+10,2.7821e+11
0.08646,0.00625,3.8627e-1,2.6366e+10,2.1206e+11
0.08854,0.00625,3.3296e-1,2.9300e+10,1.7528e+11
0.09062,0.00625,2.7651e-1,7.3555e+9,1.2783e+11
0.09271,0.00625,2.1744e-1,7.6875e+5,9.4883e+10
0.09479,0.00625,1.5618e-1,0.0000e+0,8.0520e+10
0.09688,0.00625,9.2523e-2,0.0000e+0,1.5805e+10
0.09896,0.00625,3.0375e-2,0.0000e+0,2.9242e+9
0.00104,0.01042,1.8386e+0,2.9936e+10,1.6411e+11
0.00313,0.01042,1.8418e+0,1.4025e+10,4.8009e+11
0.00521,0.01042,1.8285e+0,2.6711e+10,2.2552e+11
0.00729,0.01042,1.8206e+0,3.2526e+10,4.8371e+11
0.00937,0.01042,1.7982e+0,4.0109e+10,2.7456e+11
0.01146,0.01042,1.7778e+0,6.7645e+10,2.2749e+11
0.01354,0.01042,1.7641e+0,6.1446e+10,3.1523e+11
0.01563,0.01042,1.7495e+0,5.1355e+10,3.2666e+11
0.01771,0.01042,1.7313e+0,4.4958e+10,1.4575e+11
0.01979,0.01042,1.7210e+0,4.4014e+10,2.6971e+11
0.02187,0.01042,1.7088e+0,4.6723e+10,3.2162e+11
0.02396,0.01042,1.6911e+0,5.3442e+10,2.9360e+11
0.02604,0.01042,1.6699e+0,3.7134e+10,2.0128e+11
0.02813,0.01042,1.6504e+0,4.8398e+10,1.8475e+11
0.03021,0.01042,1.6344e+0,5.2615e+10,2.0949e+11
0.03229,0.01042,1.6195e+0,5.8584e+10,2.4278e+11
0.03438,0.01042,1.6036e+0,5.4328e+10,3.2412e+11
0.03646,0.01042,1.5811e+0,5.6154e+10,3.0403e+11
0.03854,0.01042,1.5542e+0,5.2724e+10,2.2114e+11
0.04063,0.01042,1.5293e+0,5.9250e+10,2.5795e+11
0.04271,0.01042,1.5041e+0,5.3767e+10,3.2591e+11
0.04479,0.01042,1.4729e+0,5.3181e+10,2.2951e+11
0.04688,0.01042,1.4422e+0,5.0512e+10,2.0948e+11
0.04896,0.01042,1.4128e+0,6.0062e+10,1.7665e+11
0.05104,0.01042,1.3877e+0,5.9846e+10,2.4341e+11
0.05312,0.01042,1.3615e+0,4.9280e+10,2.4538e+11
0.05521,0.01042,1.3331e+0,4.9859e+10,2.5280e+11
0.05729,0.01042,1.3025e+0,4.8083e+10,1.9375e+11
0.05937,0.01042,1.2732e+0,4.3774e+10,2.2656e+11
0.06146,0.01042,1.2422e+0,5.4672e+10,3.0679e+11
0.06354,0.01042,1.2045e+0,5.3298e+10,3.0545e+11
0.06563,0.01042,1.1599e+0,5.1713e+10,2.5326e+11
0.06771,0.01042,1.1118e+0,4.9022e+10,1.7930e+11
0.06979,0.01042,1.0654e+0,5.9495e+10,2.3733e+11
0.07187,0.01042,1.0165e+0,5.1361e+10,2.1235e+11
0.07396,0.01042,9.6567e-1,5.0339e+10,1.8218e+11
0.07604,0.01042,9.1455e-1,4.8758e+10,2.2689e+11
0.07813,0.01042,8.5890e-1,5.0210e+10,2.0525e+11
0.08021,0.01042,8.0083e-1,5.4231e+10,2.4927e+11
0.08229,0.01042,7.3716e-1,5.8852e+10,2.1706e+11
0.08438,0.01042,6.6997e-1,4.7138e+10,2.5234e+11
0.08646,0.01042,5.9469e-1,3.9964e+10,2.1314e+11
0.08854,0.01042,5.1323e-1,4.1465e+10,1.6971e+11
0.09062,0.01042,4.2839e-1,1.0505e+10,1.4602e+11
0.09271,0.01042,3.3904e-1,5.5437e+6,1.3604e+11
0.09479,0.01042,2.4459e-1,0.0000e+0,1.1161e+11
0.09688,0.01042,1.4623e-1,0.0000e+0,3.6134e+10
0.09896,0.01042,4.8655e-2,0.0000e+0,2.7705e+10
0.00104,0.01458,2.4494e+0,5.8766e+10,2.7356e+11
0.00313,0.01458,2.4490e+0,3.3018e+10,5.1889e+11
0.00521,0.01458,2.4320e+0,3.5400e+10,2.3922e+11
0.00729,0.01458,2.4193e+0,4.4005e+10,4.3699e+11
0.00937,0.01458,2.3941e+0,4.4474e+10,2.7073e+11
0.01146,0.01458,2.3687e+0,7.5297e+10,1.7614e+11
0.01354,0.01458,2.3501e+0,7.8304e+10,1.9574e+11
0.01563,0.01458,2.3356e+0,6.1567e+10,2.6292e+11
0.01771,0.01458,2.3187e+0,6.4789e+10,2.3205e+11
0.01979,0.01458,2.3032e+0,6.3006e+10,2.5767e+11
0.02187,0.01458,2.2868e+0,5.5081e+10,2.9817e+11
0.02396,0.01458,2.2659e+0,6.4588e+10,2.9859e+11
0.02604,0.01458,2.2410e+0,5.6713e+10,2.4661e+11
0.02813,0.01458,2.2150e+0,7.0105e+10,1.6887e+11
0.03021,0.01458,2.1942e+0,7.5948e+10,2.8966e+11
0.03229,0.01458,2.1703e+0,7.9036e+10,2.7710e+11
0.03438,0.01458,2.1445e+0,6.8773e+10,3.4424e+11
0.03646,0.01458,2.1115e+0,7.9765e+10,3.2846e+11
0.03854,0.01458,2.0737e+0,7.3639e+10,2.3420e+11
0.04063,0.01458,2.0372e+0,7.8025e+10,2.4299e+11
0.04271,0.01458,2.0008e+0,7.1645e+10,2.6290e+11
0.04479,0.01458,1.9615e+0,7.7146e+10,2.3324e+11
0.04688,0.01458,1.9224e+0,7.3397e+10,2.3777e+11
0.04896,0.01458,1.8829e+0,8.5430e+10,1.8508e+11
0.05104,0.01458,1.8482e+0,7.9536e+10,2.6175e+11
0.05312,0.01458,1.8116e+0,7.1372e+10,2.8341e+11
0.05521,0.01458,1.7714e+0,7.4257e+10,2.5338e+11
0.05729,0.01458,1.7302e+0,7.2133e+10,2.1856e+11
0.05937,0.01458,1.6908e+0,6.4324e+10,2.9840e+11
0.06146,0.01458,1.6468e+0,6.5465e+10,2.9294e+11
0.06354,0.01458,1.5984e+0,7.0486e+10,3.9289e+11
0.06563,0.01458,1.5388e+0,7.2280e+10,2.9449e+11
0.06771,0.01458,1.4751e+0,6.5994e+10,2.0549e+11
0.06979,0.01458,1.4123e+0,7.7964e+10,2.2886e+11
0.07187,0.01458,1.3480e+0,7.6229e+10,2.4817e+11
0.07396,0.01458,1.2803e+0,7.1834e+10,2.0706e+11
0.07604,0.01458,1.2112e+0,6.5261e+10,2.7323e+11
