# EHR Phase 3 ambipolar study  2026-07-19T09:20:38.128Z
# feedback=true n0_m3=300000000000 model=screw nexp=1 n=2000 Bwall_T=0.01 p_mTorr=10
# Tseed_eV=3 R_m=0.1 L_m=0.4 Tmax_s=0.00001 dt_s=1.1371260207131446e-10 grid=48x96 fieldevery=5 seed=1
ratio,surviveFrac,tauMean_s,tauLeak_s,phiMax_V,fracRadialLoss,fracEndLoss
0,0.3205,0.0000042073054600260414,0.00003480860762188146,9.815554969148332,0.0029433406916850625,0.9970566593083149
0.5,0.3175,0.000004214618658419313,0.00003386936673032631,9.583710781158825,0.005860805860805861,0.9941391941391942
1,0.33,0.000004466101071990636,0.00002857183014727293,9.28990610885341,0.009701492537313432,0.9902985074626866
1.5,0.303,0.000004434058905900119,0.000022305216276668528,9.359120970003811,0.01291248206599713,0.9870875179340028
2,0.336,0.000004846292846334139,0.000020627004017263004,9.248944694972234,0.029367469879518073,0.9706325301204819
3,0.349,0.000005221371704523136,0.000017615801332333212,10.019561761722958,0.03763440860215054,0.9623655913978495
