r_m,z_m,phi_V,ne_m3,ni_m3
0.00104,0.00208,1.7788e-1,0.0000e+0,0.0000e+0
0.00313,0.00208,1.7762e-1,0.0000e+0,0.0000e+0
0.00521,0.00208,1.7720e-1,0.0000e+0,0.0000e+0
0.00729,0.00208,1.7663e-1,0.0000e+0,0.0000e+0
0.00937,0.00208,1.7591e-1,0.0000e+0,0.0000e+0
0.01146,0.00208,1.7502e-1,0.0000e+0,0.0000e+0
0.01354,0.00208,1.7398e-1,0.0000e+0,0.0000e+0
0.01563,0.00208,1.7279e-1,0.0000e+0,0.0000e+0
0.01771,0.00208,1.7143e-1,0.0000e+0,0.0000e+0
0.01979,0.00208,1.6984e-1,0.0000e+0,0.0000e+0
0.02187,0.00208,1.6799e-1,0.0000e+0,0.0000e+0
0.02396,0.00208,1.6602e-1,0.0000e+0,0.0000e+0
0.02604,0.00208,1.6372e-1,0.0000e+0,0.0000e+0
0.02813,0.00208,1.6139e-1,0.0000e+0,0.0000e+0
0.03021,0.00208,1.5889e-1,0.0000e+0,0.0000e+0
0.03229,0.00208,1.5610e-1,0.0000e+0,0.0000e+0
0.03438,0.00208,1.5321e-1,0.0000e+0,0.0000e+0
0.03646,0.00208,1.5010e-1,0.0000e+0,0.0000e+0
0.03854,0.00208,1.4680e-1,0.0000e+0,0.0000e+0
0.04063,0.00208,1.4341e-1,0.0000e+0,0.0000e+0
0.04271,0.00208,1.3989e-1,0.0000e+0,0.0000e+0
0.04479,0.00208,1.3625e-1,0.0000e+0,0.0000e+0
0.04688,0.00208,1.3253e-1,0.0000e+0,0.0000e+0
0.04896,0.00208,1.2876e-1,0.0000e+0,0.0000e+0
0.05104,0.00208,1.2496e-1,0.0000e+0,0.0000e+0
0.05312,0.00208,1.2110e-1,0.0000e+0,0.0000e+0
0.05521,0.00208,1.1712e-1,0.0000e+0,0.0000e+0
0.05729,0.00208,1.1300e-1,0.0000e+0,0.0000e+0
0.05937,0.00208,1.0871e-1,0.0000e+0,0.0000e+0
0.06146,0.00208,1.0427e-1,0.0000e+0,0.0000e+0
0.06354,0.00208,9.9638e-2,0.0000e+0,0.0000e+0
0.06563,0.00208,9.4817e-2,0.0000e+0,0.0000e+0
0.06771,0.00208,8.9798e-2,0.0000e+0,0.0000e+0
0.06979,0.00208,8.4620e-2,0.0000e+0,0.0000e+0
0.07187,0.00208,7.9294e-2,0.0000e+0,0.0000e+0
0.07396,0.00208,7.3811e-2,0.0000e+0,0.0000e+0
0.07604,0.00208,6.8198e-2,0.0000e+0,0.0000e+0
0.07813,0.00208,6.2466e-2,0.0000e+0,0.0000e+0
0.08021,0.00208,5.6627e-2,0.0000e+0,0.0000e+0
0.08229,0.00208,5.0724e-2,0.0000e+0,0.0000e+0
0.08438,0.00208,4.4746e-2,0.0000e+0,0.0000e+0
0.08646,0.00208,3.8723e-2,0.0000e+0,0.0000e+0
0.08854,0.00208,3.2671e-2,0.0000e+0,0.0000e+0
0.09062,0.00208,2.6622e-2,0.0000e+0,0.0000e+0
0.09271,0.00208,2.0588e-2,0.0000e+0,0.0000e+0
0.09479,0.00208,1.4607e-2,0.0000e+0,0.0000e+0
0.09688,0.00208,8.6904e-3,0.0000e+0,0.0000e+0
0.09896,0.00208,2.8650e-3,0.0000e+0,0.0000e+0
0.00104,0.00625,5.3493e-1,0.0000e+0,0.0000e+0
0.00313,0.00625,5.3432e-1,0.0000e+0,0.0000e+0
0.00521,0.00625,5.3315e-1,0.0000e+0,0.0000e+0
0.00729,0.00625,5.3147e-1,0.0000e+0,0.0000e+0
0.00937,0.00625,5.2932e-1,0.0000e+0,0.0000e+0
0.01146,0.00625,5.2676e-1,0.0000e+0,0.0000e+0
0.01354,0.00625,5.2370e-1,0.0000e+0,0.0000e+0
0.01563,0.00625,5.2001e-1,0.0000e+0,0.0000e+0
0.01771,0.00625,5.1569e-1,0.0000e+0,0.0000e+0
0.01979,0.00625,5.1079e-1,0.0000e+0,0.0000e+0
0.02187,0.00625,5.0540e-1,0.0000e+0,0.0000e+0
0.02396,0.00625,4.9938e-1,0.0000e+0,0.0000e+0
0.02604,0.00625,4.9281e-1,0.0000e+0,0.0000e+0
0.02813,0.00625,4.8569e-1,0.0000e+0,0.0000e+0
0.03021,0.00625,4.7803e-1,0.0000e+0,0.0000e+0
0.03229,0.00625,4.6977e-1,0.0000e+0,0.0000e+0
0.03438,0.00625,4.6094e-1,0.0000e+0,0.0000e+0
0.03646,0.00625,4.5162e-1,0.0000e+0,0.0000e+0
0.03854,0.00625,4.4179e-1,0.0000e+0,0.0000e+0
0.04063,0.00625,4.3147e-1,0.0000e+0,0.0000e+0
0.04271,0.00625,4.2073e-1,0.0000e+0,0.0000e+0
0.04479,0.00625,4.0966e-1,0.0000e+0,0.0000e+0
0.04688,0.00625,3.9838e-1,0.0000e+0,0.0000e+0
0.04896,0.00625,3.8707e-1,0.0000e+0,0.0000e+0
0.05104,0.00625,3.7580e-1,0.0000e+0,0.0000e+0
0.05312,0.00625,3.6436e-1,0.0000e+0,0.0000e+0
0.05521,0.00625,3.5258e-1,0.0000e+0,0.0000e+0
0.05729,0.00625,3.4033e-1,0.0000e+0,0.0000e+0
0.05937,0.00625,3.2753e-1,0.0000e+0,0.0000e+0
0.06146,0.00625,3.1416e-1,0.0000e+0,0.0000e+0
0.06354,0.00625,3.0024e-1,0.0000e+0,0.0000e+0
0.06563,0.00625,2.8574e-1,0.0000e+0,0.0000e+0
0.06771,0.00625,2.7069e-1,0.0000e+0,0.0000e+0
0.06979,0.00625,2.5513e-1,0.0000e+0,0.0000e+0
0.07187,0.00625,2.3908e-1,0.0000e+0,0.0000e+0
0.07396,0.00625,2.2258e-1,0.0000e+0,0.0000e+0
0.07604,0.00625,2.0569e-1,0.0000e+0,0.0000e+0
0.07813,0.00625,1.8842e-1,0.0000e+0,0.0000e+0
0.08021,0.00625,1.7084e-1,0.0000e+0,0.0000e+0
0.08229,0.00625,1.5302e-1,0.0000e+0,0.0000e+0
0.08438,0.00625,1.3499e-1,0.0000e+0,0.0000e+0
0.08646,0.00625,1.1682e-1,0.0000e+0,0.0000e+0
0.08854,0.00625,9.8587e-2,0.0000e+0,0.0000e+0
0.09062,0.00625,8.0339e-2,0.0000e+0,0.0000e+0
0.09271,0.00625,6.2157e-2,0.0000e+0,0.0000e+0
0.09479,0.00625,4.4102e-2,0.0000e+0,0.0000e+0
0.09688,0.00625,2.6246e-2,0.0000e+0,0.0000e+0
0.09896,0.00625,8.6387e-3,0.0000e+0,0.0000e+0
0.00104,0.01042,8.9601e-1,0.0000e+0,0.0000e+0
0.00313,0.01042,8.9505e-1,0.0000e+0,0.0000e+0
0.00521,0.01042,8.9329e-1,0.0000e+0,0.0000e+0
0.00729,0.01042,8.9073e-1,0.0000e+0,0.0000e+0
0.00937,0.01042,8.8736e-1,0.0000e+0,0.0000e+0
0.01146,0.01042,8.8305e-1,0.0000e+0,0.0000e+0
0.01354,0.01042,8.7770e-1,0.0000e+0,0.0000e+0
0.01563,0.01042,8.7138e-1,0.0000e+0,0.0000e+0
0.01771,0.01042,8.6424e-1,0.0000e+0,0.0000e+0
0.01979,0.01042,8.5623e-1,0.0000e+0,0.0000e+0
0.02187,0.01042,8.4719e-1,0.0000e+0,0.0000e+0
0.02396,0.01042,8.3718e-1,0.0000e+0,0.0000e+0
0.02604,0.01042,8.2617e-1,0.0000e+0,0.0000e+0
0.02813,0.01042,8.1428e-1,0.0000e+0,0.0000e+0
0.03021,0.01042,8.0152e-1,0.0000e+0,0.0000e+0
0.03229,0.01042,7.8774e-1,0.0000e+0,0.0000e+0
0.03438,0.01042,7.7306e-1,0.0000e+0,0.0000e+0
0.03646,0.01042,7.5746e-1,0.0000e+0,0.0000e+0
0.03854,0.01042,7.4090e-1,0.0000e+0,0.0000e+0
0.04063,0.01042,7.2341e-1,0.0000e+0,0.0000e+0
0.04271,0.01042,7.0506e-1,0.0000e+0,0.0000e+0
0.04479,0.01042,6.8593e-1,0.0000e+0,0.0000e+0
0.04688,0.01042,6.6636e-1,0.0000e+0,0.0000e+0
0.04896,0.01042,6.4717e-1,0.0000e+0,0.0000e+0
0.05104,0.01042,6.2914e-1,0.0000e+0,0.0000e+0
0.05312,0.01042,6.1084e-1,0.0000e+0,0.0000e+0
0.05521,0.01042,5.9173e-1,0.0000e+0,0.0000e+0
0.05729,0.01042,5.7160e-1,0.0000e+0,0.0000e+0
0.05937,0.01042,5.5042e-1,0.0000e+0,0.0000e+0
0.06146,0.01042,5.2819e-1,0.0000e+0,0.0000e+0
0.06354,0.01042,5.0496e-1,0.0000e+0,0.0000e+0
0.06563,0.01042,4.8073e-1,0.0000e+0,0.0000e+0
0.06771,0.01042,4.5555e-1,0.0000e+0,0.0000e+0
0.06979,0.01042,4.2948e-1,0.0000e+0,0.0000e+0
0.07187,0.01042,4.0257e-1,0.0000e+0,0.0000e+0
0.07396,0.01042,3.7489e-1,0.0000e+0,0.0000e+0
0.07604,0.01042,3.4651e-1,0.0000e+0,0.0000e+0
0.07813,0.01042,3.1749e-1,0.0000e+0,0.0000e+0
0.08021,0.01042,2.8791e-1,0.0000e+0,0.0000e+0
0.08229,0.01042,2.5791e-1,0.0000e+0,0.0000e+0
0.08438,0.01042,2.2756e-1,0.0000e+0,0.0000e+0
0.08646,0.01042,1.9697e-1,0.0000e+0,0.0000e+0
0.08854,0.01042,1.6625e-1,0.0000e+0,0.0000e+0
0.09062,0.01042,1.3551e-1,0.0000e+0,0.0000e+0
0.09271,0.01042,1.0485e-1,0.0000e+0,0.0000e+0
0.09479,0.01042,7.4404e-2,0.0000e+0,0.0000e+0
0.09688,0.01042,4.4269e-2,0.0000e+0,0.0000e+0
0.09896,0.01042,1.4569e-2,0.0000e+0,0.0000e+0
0.00104,0.01458,1.2642e+0,0.0000e+0,0.0000e+0
0.00313,0.01458,1.2631e+0,0.0000e+0,0.0000e+0
0.00521,0.01458,1.2608e+0,0.0000e+0,0.0000e+0
0.00729,0.01458,1.2573e+0,0.0000e+0,0.0000e+0
0.00937,0.01458,1.2524e+0,0.0000e+0,0.0000e+0
0.01146,0.01458,1.2462e+0,0.0000e+0,0.0000e+0
0.01354,0.01458,1.2388e+0,0.0000e+0,0.0000e+0
0.01563,0.01458,1.2301e+0,0.0000e+0,0.0000e+0
0.01771,0.01458,1.2203e+0,0.0000e+0,0.0000e+0
0.01979,0.01458,1.2089e+0,0.0000e+0,0.0000e+0
0.02187,0.01458,1.1963e+0,0.0000e+0,0.0000e+0
0.02396,0.01458,1.1823e+0,0.0000e+0,0.0000e+0
0.02604,0.01458,1.1670e+0,0.0000e+0,0.0000e+0
0.02813,0.01458,1.1503e+0,0.0000e+0,0.0000e+0
0.03021,0.01458,1.1324e+0,0.0000e+0,0.0000e+0
0.03229,0.01458,1.1132e+0,0.0000e+0,0.0000e+0
0.03438,0.01458,1.0926e+0,0.0000e+0,0.0000e+0
0.03646,0.01458,1.0707e+0,0.0000e+0,0.0000e+0
0.03854,0.01458,1.0474e+0,0.0000e+0,0.0000e+0
0.04063,0.01458,1.0226e+0,0.0000e+0,0.0000e+0
0.04271,0.01458,9.9611e-1,0.0000e+0,0.0000e+0
0.04479,0.01458,9.6755e-1,0.0000e+0,0.0000e+0
0.04688,0.01458,9.3630e-1,7.4672e+10,0.0000e+0
0.04896,0.01458,9.0582e-1,2.1928e+11,0.0000e+0
0.05104,0.01458,8.8657e-1,0.0000e+0,0.0000e+0
0.05312,0.01458,8.6354e-1,0.0000e+0,0.0000e+0
0.05521,0.01458,8.3788e-1,0.0000e+0,0.0000e+0
0.05729,0.01458,8.1014e-1,0.0000e+0,0.0000e+0
0.05937,0.01458,7.8060e-1,0.0000e+0,0.0000e+0
0.06146,0.01458,7.4942e-1,0.0000e+0,0.0000e+0
0.06354,0.01458,7.1673e-1,0.0000e+0,0.0000e+0
0.06563,0.01458,6.8262e-1,0.0000e+0,0.0000e+0
0.06771,0.01458,6.4714e-1,0.0000e+0,0.0000e+0
0.06979,0.01458,6.1037e-1,0.0000e+0,0.0000e+0
0.07187,0.01458,5.7236e-1,0.0000e+0,0.0000e+0
0.07396,0.01458,5.3320e-1,0.0000e+0,0.0000e+0
0.07604,0.01458,4.9298e-1,0.0000e+0,0.0000e+0
0.07813,0.01458,4.5183e-1,0.0000e+0,0.0000e+0
0.08021,0.01458,4.0986e-1,0.0000e+0,0.0000e+0
0.08229,0.01458,3.6724e-1,0.0000e+0,0.0000e+0
0.08438,0.01458,3.2409e-1,0.0000e+0,0.0000e+0
0.08646,0.01458,2.8059e-1,0.0000e+0,0.0000e+0
