r_m,z_m,phi_V,ne_m3,ni_m3
0.00104,0.00208,1.6765e-1,0.0000e+0,0.0000e+0
0.00313,0.00208,1.6703e-1,0.0000e+0,0.0000e+0
0.00521,0.00208,1.6559e-1,0.0000e+0,0.0000e+0
0.00729,0.00208,1.6317e-1,0.0000e+0,0.0000e+0
0.00937,0.00208,1.5966e-1,0.0000e+0,0.0000e+0
0.01146,0.00208,1.5482e-1,0.0000e+0,0.0000e+0
0.01354,0.00208,1.4832e-1,0.0000e+0,0.0000e+0
0.01563,0.00208,1.4006e-1,1.5331e+11,0.0000e+0
0.01771,0.00208,1.4423e-1,5.0026e+10,0.0000e+0
0.01979,0.00208,1.4978e-1,0.0000e+0,0.0000e+0
0.02187,0.00208,1.5254e-1,0.0000e+0,0.0000e+0
0.02396,0.00208,1.5303e-1,0.0000e+0,0.0000e+0
0.02604,0.00208,1.5160e-1,0.0000e+0,0.0000e+0
0.02813,0.00208,1.4775e-1,0.0000e+0,0.0000e+0
0.03021,0.00208,1.3970e-1,0.0000e+0,0.0000e+0
0.03229,0.00208,1.2331e-1,5.4439e+11,0.0000e+0
0.03438,0.00208,1.3341e-1,1.4009e+11,0.0000e+0
0.03646,0.00208,1.3987e-1,0.0000e+0,0.0000e+0
0.03854,0.00208,1.4114e-1,0.0000e+0,0.0000e+0
0.04063,0.00208,1.4003e-1,0.0000e+0,0.0000e+0
0.04271,0.00208,1.3774e-1,0.0000e+0,0.0000e+0
0.04479,0.00208,1.3482e-1,0.0000e+0,0.0000e+0
0.04688,0.00208,1.3141e-1,0.0000e+0,0.0000e+0
0.04896,0.00208,1.2769e-1,0.0000e+0,0.0000e+0
0.05104,0.00208,1.2369e-1,0.0000e+0,0.0000e+0
0.05312,0.00208,1.1950e-1,0.0000e+0,0.0000e+0
0.05521,0.00208,1.1518e-1,0.0000e+0,0.0000e+0
0.05729,0.00208,1.1074e-1,0.0000e+0,0.0000e+0
0.05937,0.00208,1.0624e-1,0.0000e+0,0.0000e+0
0.06146,0.00208,1.0169e-1,0.0000e+0,0.0000e+0
0.06354,0.00208,9.7065e-2,0.0000e+0,0.0000e+0
0.06563,0.00208,9.2327e-2,0.0000e+0,0.0000e+0
0.06771,0.00208,8.7445e-2,0.0000e+0,0.0000e+0
0.06979,0.00208,8.2410e-2,0.0000e+0,0.0000e+0
0.07187,0.00208,7.7232e-2,0.0000e+0,0.0000e+0
0.07396,0.00208,7.1904e-2,0.0000e+0,0.0000e+0
